Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,2,4,1,6,15,5,11
La Montagne,5,9,15,4,6,7,2,16
La Provence,15,5,8,2,4,11,7,16
Aisne Nouvelle,16,15,11,9,4,5,8,7
La République du Centre,15,5,7,4,2,9,8,6
La Voix du Nord,15,11,4,7,5,9,16,2
Le Courrier Picard,15,4,5,9,7,8,6,16
Le Dauphiné Libéré,4,15,7,2,9,5,8,16
Le Matin de Lausanne,15,11,9,7,4,3,14,5
Le Parisien,15,5,11,9,4,6,7,2
Le Progrès de Lyon,15,11,4,7,5,9,16,2
Bilto,15,4,5,9,6,8,7,2
Le Quotidien de la Réunion,15,5,4,7,1,11,14,9
Le Télégramme de Brest,7,1,11,14,9,15,5,4
Les 7 de week-end,15,5,1,2,9,8,7,16
Midi-Libre,9,15,4,5,8,16,2,7
Nice Matin,15,9,5,16,8,4,11,7
Nve. Rep. Centre-Ouest,15,4,11,16,9,7,5,2
Ouest-France,4,8,7,15,6,9,2,5
Paris Normandie,15,11,14,9,5,4,7,1
Paris Turf,15,9,7,6,8,4,5,2
Centre Presse Poitiers,4,15,16,1,2,11,8,6
République des Pyrénées,4,15,2,6,5,7,8,11
Week-End,15,5,7,4,9,2,11,8
Charente Libre,15,4,9,8,2,7,5,6
Europe 1,15,9,2,6,16,5,8,7
L'Echo du Centre,15,5,4,11,7,9,16,2
L'Eveil,15,4,7,1,11,14,9,5
L'Yonne Républicaine,8,15,9,2,4,6,5,7
L'indépendant,15,5,11,9,2,4,1,6
