Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,13,8,12,16,7,14,6
La Montagne,8,2,13,7,12,14,6,5
La Provence,2,8,13,14,6,7,16,12
Aisne Nouvelle,7,2,13,14,8,12,5,6
La République du Centre,8,13,12,16,2,14,6,7
La Voix du Nord,2,12,13,7,8,14,6,16
Le Courrier Picard,13,7,2,6,8,14,12,9
Le Dauphiné Libéré,13,6,12,14,7,2,16,8
Le Matin de Lausanne,8,12,2,6,7,13,14,11
Le Parisien,14,8,11,13,4,7,5,6
Le Progrès de Lyon,2,12,13,7,8,14,6,16
Bilto,2,8,6,7,13,14,9,12
Le Quotidien de la Réunion,2,14,7,16,13,8,6,5
Le Télégramme de Brest,13,6,5,14,2,16,7,8
Les 7 de week-end,2,14,13,12,8,7,6,11
Midi-Libre,8,2,13,6,7,16,12,14
Nice Matin,7,16,8,2,12,13,6,14
Nve. Rep. Centre-Ouest,2,8,13,12,7,14,6,16
Ouest-France,6,13,14,8,12,2,5,7
Paris Normandie,13,8,14,2,7,16,12,6
Paris Turf,2,13,14,8,6,11,16,9
Centre Presse Poitiers,8,2,13,12,16,6,5,9
République des Pyrénées,13,6,16,8,2,12,14,5
Week-End,2,14,13,7,8,6,16,12
Charente Libre,2,12,13,7,8,14,6,16
Europe 1,2,13,8,7,6,14,12,16
L'Echo du Centre,14,16,2,8,5,13,7,6
L'Eveil,12,13,7,2,8,5,6,14
L'Yonne Républicaine,8,6,13,14,7,12,2,5
L'indépendant,6,12,13,8,2,16,14,7
