Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,11,13,4,10,1,7,9,6
La Montagne,13,1,11,4,10,7,6,9
La Provence,1,11,7,4,13,10,9,6
Aisne Nouvelle,10,11,6,1,4,13,5,9
La République du Centre,1,7,11,6,5,4,13,10
La Voix du Nord,11,6,5,4,13,10,1,7
Le Courrier Picard,11,1,10,7,4,13,9,6
Le Dauphiné Libéré,11,10,1,4,7,13,9,5
Le Matin de Lausanne,13,11,4,10,1,7,2,9
Le Parisien,11,6,5,4,13,10,1,7
Le Progrès de Lyon,1,7,9,13,4,11,6,10
Bilto,1,11,7,13,4,10,9,3
Le Quotidien de la Réunion,10,7,1,9,11,4,13,5
Le Télégramme de Brest,11,1,13,10,7,4,9,6
Les 7 de week-end,11,9,4,10,1,7,13,5
Midi-Libre,1,13,7,9,4,10,11,5
Nice Matin,13,1,4,11,10,7,9,2
Nve. Rep. Centre-Ouest,11,6,4,13,10,5,1,7
Ouest-France,1,11,10,13,4,7,6,9
Paris Normandie,7,10,4,1,11,13,5,9
Paris Turf,7,4,2,9,13,11,10,1
Centre Presse Poitiers,4,11,6,13,7,9,5,2
République des Pyrénées,13,10,1,7,11,6,5,4
Week-End,4,13,10,7,1,11,2,9
Charente Libre,4,11,13,7,1,10,9,6
Europe 1,5,4,13,10,1,7,11,6
L'Echo du Centre,7,10,4,11,13,1,9,5
L'Eveil,1,13,11,10,4,7,9,5
L'Yonne Républicaine,4,13,7,10,11,1,9,6
L'indépendant,10,1,13,4,9,7,11,6
