Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,13,4,2,12,8,1,3,5
La Montagne,5,4,12,13,1,8,3,2
La Provence,13,5,4,8,2,12,1,9
Aisne Nouvelle,12,1,13,8,5,2,9,3
La République du Centre,4,5,1,13,12,2,3,8
La Voix du Nord,13,12,5,1,2,8,4,10
Le Courrier Picard,4,2,12,5,13,1,8,3
Le Dauphiné Libéré,13,12,5,8,4,2,3,6
Le Matin de Lausanne,13,2,1,12,8,5,4,3
Le Parisien,13,2,4,8,3,1,12,5
Le Progrès de Lyon,13,12,5,1,2,8,4,10
Bilto,2,13,1,5,8,4,12,3
Le Quotidien de la Réunion,13,12,5,3,2,1,9,8
Le Télégramme de Brest,13,2,1,4,12,5,8,3
Les 7 de week-end,5,12,13,1,2,8,4,6
Midi-Libre,12,13,1,2,4,5,8,3
Nice Matin,13,8,1,12,3,5,4,2
Nve. Rep. Centre-Ouest,13,12,5,2,1,8,4,9
Ouest-France,13,2,5,4,12,1,8,3
Paris Normandie,13,12,8,4,1,5,2,9
Paris Turf,6,7,4,13,12,10,2,1
Centre Presse Poitiers,5,13,12,2,4,3,9,6
République des Pyrénées,5,1,8,13,12,4,2,6
Week-End,12,13,1,2,5,4,6,8
Charente Libre,13,12,5,1,2,8,4,10
Europe 1,13,4,12,1,2,5,9,8
L'Echo du Centre,5,12,1,2,8,13,9,4
L'Eveil,13,1,4,5,8,12,2,9
L'Yonne Républicaine,13,2,3,12,4,5,1,10
L'indépendant,12,2,8,1,5,13,3,4
