Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,5,6,14,12,7,13,11
La Montagne,12,4,5,6,7,1,13,9
La Provence,4,13,1,7,5,14,15,9
Aisne Nouvelle,12,1,3,13,7,5,6,8
La République du Centre,7,4,5,11,13,6,1,2
La Voix du Nord,7,4,11,12,5,13,6,14
Le Courrier Picard,5,12,11,7,6,13,8,16
Le Dauphiné Libéré,5,3,7,11,13,2,4,15
Le Matin de Lausanne,7,5,12,4,1,9,14,13
Le Parisien,7,6,1,5,15,12,10,13
Le Progrès de Lyon,12,6,4,11,13,5,7,16
Bilto,7,11,12,1,2,13,9,14
Le Quotidien de la Réunion,5,7,4,6,11,13,2,12
Le Télégramme de Brest,3,11,6,5,7,14,12,1
Les 7 de week-end,7,1,13,4,12,2,5,9
Midi-Libre,12,4,7,1,5,6,13,14
Nice Matin,12,4,5,7,13,1,2,3
Nve. Rep. Centre-Ouest,4,9,14,7,3,13,12,2
Ouest-France,7,13,5,6,12,11,4,8
Paris Normandie,5,12,7,4,13,6,3,14
Paris Turf,1,5,2,9,13,7,12,8
Centre Presse Poitiers,6,7,5,4,8,9,12,16
République des Pyrénées,6,4,12,7,2,13,1,5
Week-End,6,1,3,11,12,13,4,7
Charente Libre,7,4,11,12,5,13,6,14
Europe 1,12,4,13,7,11,9,5,6
L'Echo du Centre,7,3,5,13,14,12,10,6
L'Eveil,7,12,2,5,8,6,11,4
L'Yonne Républicaine,3,11,4,9,7,2,6,5
L'indépendant,13,1,5,12,6,7,3,9
