Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,9,11,16,10,4,7,5
La Montagne,5,3,4,16,2,9,11,13
La Provence,4,5,6,11,16,2,10,1
Aisne Nouvelle,9,5,11,1,4,3,16,2
La République du Centre,11,5,3,10,1,4,9,15
La Voix du Nord,5,11,4,9,16,3,2,1
Le Courrier Picard,16,11,4,2,5,6,12,3
Le Dauphiné Libéré,5,2,4,16,3,9,11,7
Le Matin de Lausanne,11,4,3,16,1,10,2,6
Le Parisien,5,11,4,9,16,3,2,1
Le Progrès de Lyon,5,4,3,9,6,16,10,2
Bilto,4,5,11,16,3,6,9,2
Le Quotidien de la Réunion,5,3,9,11,4,16,2,10
Le Télégramme de Brest,5,11,4,16,9,2,3,10
Les 7 de week-end,4,2,5,11,6,1,16,9
Midi-Libre,5,2,4,16,11,10,1,3
Nice Matin,4,9,10,16,11,12,5,13
Nve. Rep. Centre-Ouest,5,9,4,11,2,16,7,3
Ouest-France,4,11,5,2,9,3,16,6
Paris Normandie,3,9,16,11,4,1,15,10
Paris Turf,4,11,3,2,5,6,10,16
Centre Presse Poitiers,4,7,5,9,8,11,16,12
République des Pyrénées,4,11,3,6,2,5,9,1
Week-End,5,4,11,3,15,10,6,16
Charente Libre,5,11,4,9,16,3,2,1
Europe 1,11,5,3,4,2,10,12,16
L'Echo du Centre,4,11,2,5,6,3,16,9
L'Eveil,11,16,5,4,3,2,9,1
L'Yonne Républicaine,4,3,2,11,6,16,12,7
L'indépendant,5,16,11,4,9,3,2,10
