Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,10,9,13,15,7,5,11,2
La Montagne,11,7,10,13,9,15,5,2
La Provence,10,9,15,7,5,11,2,13
Aisne Nouvelle,10,7,13,5,9,15,11,2
La République du Centre,9,13,15,10,7,2,5,11
La Voix du Nord,7,13,9,10,15,11,5,2
Le Courrier Picard,10,13,7,9,11,15,2,1
Le Dauphiné Libéré,13,9,11,5,7,2,10,15
Le Matin de Lausanne,9,7,13,15,5,10,11,2
Le Parisien,13,7,10,9,11,15,2,5
Le Progrès de Lyon,7,13,9,10,15,11,5,2
Bilto,9,7,10,13,11,5,6,15
Le Quotidien de la Réunion,9,13,11,15,10,7,5,2
Le Télégramme de Brest,7,10,15,2,11,9,13,5
Les 7 de week-end,10,9,7,11,13,4,5,15
Midi-Libre,7,9,13,10,2,5,15,11
Nice Matin,10,9,13,15,7,2,11,5
Nve. Rep. Centre-Ouest,7,9,10,4,5,13,15,1
Ouest-France,9,10,7,13,11,5,15,4
Paris Normandie,7,9,10,5,13,15,4,11
Paris Turf,7,9,13,14,15,10,2,4
Centre Presse Poitiers,9,7,10,1,4,13,11,6
République des Pyrénées,13,9,11,7,10,15,4,2
Week-End,10,9,7,13,11,15,2,5
Charente Libre,7,13,9,10,15,11,5,2
Europe 1,9,7,10,13,15,5,2,11
L'Echo du Centre,10,15,9,11,7,13,1,4
L'Eveil,7,9,13,11,2,15,10,5
L'Yonne Républicaine,7,10,13,15,2,9,4,1
L'indépendant,7,9,13,11,2,15,10,4
