Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,7,12,1,8,5,11,13,10
La Montagne,12,7,13,1,10,5,11,8
La Provence,8,7,11,10,1,12,13,9
Aisne Nouvelle,8,1,7,11,10,13,5,12
La République du Centre,1,12,7,13,11,4,8,5
La Voix du Nord,1,7,10,11,8,13,12,4
Le Courrier Picard,1,7,10,8,12,11,13,14
Le Dauphiné Libéré,1,12,7,10,4,5,8,11
Le Matin de Lausanne,12,1,11,7,8,5,10,13
Le Parisien,7,11,10,1,8,12,4,13
Le Progrès de Lyon,1,7,10,11,8,13,12,4
Bilto,1,7,8,13,4,12,10,11
Le Quotidien de la Réunion,8,12,1,7,13,11,14,10
Le Télégramme de Brest,12,7,1,8,13,10,4,11
Les 7 de week-end,1,7,12,8,13,11,4,5
Midi-Libre,1,7,11,12,8,10,5,4
Nice Matin,7,1,8,13,12,11,14,9
Nve. Rep. Centre-Ouest,1,7,8,13,11,14,12,10
Ouest-France,12,1,8,11,7,5,13,10
Paris Normandie,1,8,11,12,5,7,10,13
Paris Turf,7,1,4,3,8,12,11,6
Centre Presse Poitiers,7,1,8,13,12,14,5,9
République des Pyrénées,8,1,12,11,7,13,5,10
Week-End,7,8,1,10,11,12,5,13
Charente Libre,1,7,10,11,8,13,12,4
Europe 1,1,8,7,10,12,14,13,4
L'Echo du Centre,7,12,8,10,1,13,11,4
L'Eveil,12,1,11,7,8,5,13,10
L'Yonne Républicaine,12,11,1,8,13,7,5,14
L'indépendant,11,12,1,13,8,7,10,9
