Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,13,14,12,15,6,4,5,3
La Montagne,13,10,12,6,14,15,4,5
La Provence,3,13,14,6,1,12,7,5
Aisne Nouvelle,14,13,12,6,3,1,16,2
La République du Centre,13,4,5,3,14,12,15,6
La Voix du Nord,13,12,14,6,3,1,2,5
Le Courrier Picard,13,12,6,14,15,4,5,10
Le Dauphiné Libéré,14,1,6,3,13,12,5,7
Le Matin de Lausanne,3,14,1,13,12,2,6,7
Le Parisien,13,12,6,14,3,7,5,2
Le Progrès de Lyon,13,12,14,6,3,1,2,5
Bilto,13,12,6,5,14,3,7,1
Le Quotidien de la Réunion,13,6,5,3,14,2,12,1
Le Télégramme de Brest,6,3,13,12,2,14,1,5
Les 7 de week-end,12,6,13,14,2,5,3,4
Midi-Libre,6,1,14,13,3,12,2,5
Nice Matin,13,3,12,14,6,1,2,5
Nve. Rep. Centre-Ouest,13,12,14,1,6,3,2,16
Ouest-France,13,6,14,3,1,12,2,5
Paris Normandie,14,13,6,1,12,7,5,3
Paris Turf,3,7,4,6,5,12,13,14
Centre Presse Poitiers,12,13,14,1,2,5,16,15
République des Pyrénées,3,14,13,12,1,4,6,7
Week-End,12,13,14,3,6,2,5,1
Charente Libre,13,6,14,3,5,7,12,1
Europe 1,12,3,1,14,13,2,6,5
L'Echo du Centre,13,15,4,5,10,12,6,14
L'Eveil,14,3,1,12,13,6,5,7
L'Yonne Républicaine,13,1,5,7,12,2,6,3
L'indépendant,13,4,5,10,12,6,14,15
