Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,15,8,3,13,16,14,7,10
La Montagne,7,3,16,2,15,8,11,13
La Provence,13,15,8,3,4,16,9,2
Aisne Nouvelle,16,13,15,4,8,2,3,6
La République du Centre,16,13,4,12,8,7,3,10
La Voix du Nord,16,13,8,15,4,3,2,7
Le Courrier Picard,14,16,11,13,9,4,3,15
Le Dauphiné Libéré,16,8,15,4,5,6,1,13
Le Matin de Lausanne,16,8,15,4,7,2,3,6
Le Parisien,13,15,3,8,2,16,7,12
Le Progrès de Lyon,16,14,13,3,15,8,10,11
Bilto,3,15,14,13,4,16,9,2
Le Quotidien de la Réunion,13,16,8,4,15,3,2,12
Le Télégramme de Brest,15,13,2,7,3,10,16,4
Les 7 de week-end,15,4,7,3,13,9,16,11
Midi-Libre,15,13,16,4,12,14,9,8
Nice Matin,16,13,7,8,4,1,15,5
Nve. Rep. Centre-Ouest,13,15,8,16,3,14,7,5
Ouest-France,13,3,7,4,8,16,14,15
Paris Normandie,16,8,13,15,9,14,7,6
Paris Turf,2,8,16,13,15,14,4,11
Centre Presse Poitiers,4,8,14,2,6,16,13,10
République des Pyrénées,16,15,3,8,13,1,14,4
Week-End,15,16,7,6,13,4,9,10
Charente Libre,16,13,8,15,4,3,2,7
Europe 1,16,15,7,8,6,13,3,2
L'Echo du Centre,8,3,4,13,15,14,7,16
L'Eveil,16,14,15,13,7,3,8,12
L'Yonne Républicaine,13,3,16,7,2,8,15,14
L'indépendant,16,13,8,14,15,9,5,11
