Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,10,3,14,15,2,5,9,12
La Montagne,10,14,13,7,5,2,12,3
La Provence,5,13,14,1,10,2,3,4
Aisne Nouvelle,5,14,3,2,1,4,7,13
La République du Centre,3,9,7,13,2,5,14,12
La Voix du Nord,5,14,13,10,3,15,16,2
Le Courrier Picard,5,1,4,10,9,15,2,6
Le Dauphiné Libéré,5,3,16,14,15,4,10,13
Le Matin de Lausanne,15,13,10,5,3,16,9,2
Le Parisien,14,5,15,9,10,3,8,13
Le Progrès de Lyon,13,5,10,3,4,2,7,1
Bilto,5,14,10,16,13,9,3,4
Le Quotidien de la Réunion,3,5,14,9,10,13,15,4
Le Télégramme de Brest,5,14,3,2,15,13,7,16
Les 7 de week-end,5,3,14,13,7,2,10,1
Midi-Libre,13,3,15,14,16,2,5,12
Nice Matin,3,5,9,2,10,15,12,13
Nve. Rep. Centre-Ouest,9,16,7,1,4,14,5,13
Ouest-France,10,5,2,13,3,14,9,15
Paris Normandie,14,3,2,15,5,7,12,10
Paris Turf,5,10,3,4,9,14,2,1
Centre Presse Poitiers,5,10,15,14,3,1,13,4
République des Pyrénées,14,5,2,3,15,16,10,7
Week-End,5,3,13,9,7,1,2,12
Charente Libre,5,14,13,10,3,15,16,2
Europe 1,5,14,10,15,7,16,3,8
L'Echo du Centre,5,3,16,14,10,12,2,1
L'Eveil,10,5,14,3,7,1,13,16
L'Yonne Républicaine,5,13,9,3,7,10,15,14
L'indépendant,14,7,3,15,5,10,16,13
