Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,9,3,15,5,1,10,8
La Montagne,3,1,9,2,15,5,8,4
La Provence,9,3,8,1,2,5,10,15
Aisne Nouvelle,2,3,9,8,5,1,15,10
La République du Centre,3,2,9,5,8,15,1,4
La Voix du Nord,3,9,5,8,1,2,10,4
Le Courrier Picard,3,2,5,8,1,9,15,4
Le Dauphiné Libéré,2,1,3,5,10,15,9,4
Le Matin de Lausanne,3,2,1,5,9,8,10,4
Le Parisien,3,9,5,8,1,2,10,4
Le Progrès de Lyon,3,5,8,2,1,9,15,4
Bilto,9,3,5,1,2,8,10,11
Le Quotidien de la Réunion,9,5,1,3,2,10,15,8
Le Télégramme de Brest,3,5,8,9,10,2,1,4
Les 7 de week-end,5,1,9,8,3,2,10,7
Midi-Libre,3,1,2,9,5,8,4,15
Nice Matin,9,3,8,10,1,2,5,15
Nve. Rep. Centre-Ouest,3,5,2,4,8,9,1,11
Ouest-France,2,5,9,1,3,8,4,15
Paris Normandie,5,2,3,9,1,4,10,8
Paris Turf,2,3,8,9,1,5,10,15
Centre Presse Poitiers,5,3,2,11,4,9,15,7
République des Pyrénées,3,1,5,9,8,15,4,2
Week-End,3,5,1,2,15,8,9,4
Charente Libre,3,9,5,8,1,2,10,4
Europe 1,9,3,2,1,5,10,8,15
L'Echo du Centre,3,2,1,5,9,8,4,10
L'Eveil,9,3,5,2,1,10,15,4
L'Yonne Républicaine,2,3,8,10,9,5,1,15
L'indépendant,3,9,5,8,2,1,10,15
