Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,4,9,5,6,12,16,1,2
La Montagne,16,9,5,12,6,4,14,2
La Provence,12,9,5,16,3,6,2,4
Aisne Nouvelle,2,12,9,14,4,5,16,6
La République du Centre,5,12,9,4,14,16,6,2
La Voix du Nord,12,16,3,6,9,4,5,14
Le Courrier Picard,4,12,6,16,9,5,3,14
Le Dauphiné Libéré,16,6,5,12,4,14,9,3
Le Matin de Lausanne,12,5,6,16,9,4,14,1
Le Parisien,12,16,3,6,9,4,5,14
Le Progrès de Lyon,12,9,5,16,4,2,6,1
Bilto,12,6,4,16,5,9,3,2
Le Quotidien de la Réunion,9,4,16,6,12,3,5,2
Le Télégramme de Brest,4,9,12,2,6,5,16,14
Les 7 de week-end,9,16,12,14,5,4,1,6
Midi-Libre,12,5,9,6,16,3,14,4
Nice Matin,12,9,16,5,14,4,6,1
Nve. Rep. Centre-Ouest,12,4,9,5,1,2,6,3
Ouest-France,9,4,12,16,6,5,3,14
Paris Normandie,4,9,5,12,6,16,3,1
Paris Turf,9,2,4,5,3,7,16,12
Centre Presse Poitiers,4,12,9,5,1,6,16,14
République des Pyrénées,12,9,4,6,5,16,14,2
Week-End,12,9,5,16,4,6,2,14
Charente Libre,12,16,3,6,9,4,5,14
Europe 1,12,9,4,5,16,6,3,2
L'Echo du Centre,16,12,9,5,2,4,6,3
L'Eveil,16,12,5,9,6,3,4,14
L'Yonne Républicaine,12,5,9,16,4,3,6,2
L'indépendant,12,6,9,5,4,2,3,16
