Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,14,5,1,4,11,9,7,6
La Montagne,14,5,9,8,3,11,10,7
La Provence,3,5,11,14,1,9,7,10
Aisne Nouvelle,14,5,4,3,9,10,11,1
La République du Centre,5,10,1,14,3,8,4,11
La Voix du Nord,5,14,7,11,4,3,10,1
Le Courrier Picard,3,10,9,7,5,14,11,4
Le Dauphiné Libéré,5,14,4,10,3,1,7,12
Le Matin de Lausanne,14,10,5,1,3,11,7,8
Le Parisien,14,11,1,4,3,9,5,10
Le Progrès de Lyon,14,9,5,3,4,1,11,7
Bilto,8,11,14,9,4,5,10,12
Le Quotidien de la Réunion,11,5,14,10,7,3,9,1
Le Télégramme de Brest,11,8,14,4,10,5,13,9
Les 7 de week-end,5,11,9,14,10,3,1,2
Midi-Libre,5,1,3,11,10,8,14,7
Nice Matin,14,5,3,8,7,9,4,11
Nve. Rep. Centre-Ouest,5,8,14,11,7,1,4,9
Ouest-France,5,11,14,9,4,1,12,10
Paris Normandie,5,11,9,10,3,14,7,1
Paris Turf,14,5,3,8,10,4,12,6
Centre Presse Poitiers,1,14,4,8,3,10,5,9
République des Pyrénées,14,11,4,5,10,3,1,6
Week-End,5,7,11,9,14,1,3,10
Charente Libre,5,14,7,11,4,3,10,1
Europe 1,5,3,11,14,7,8,1,9
L'Echo du Centre,5,11,10,14,8,7,1,9
L'Eveil,14,11,5,4,10,3,8,1
L'Yonne Républicaine,5,14,7,8,11,9,1,3
L'indépendant,5,14,7,1,11,3,9,12
