Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,6,3,5,12,14,13,8,4
La Montagne,13,3,5,14,6,12,7,4
La Provence,13,3,6,5,8,12,14,7
Aisne Nouvelle,6,4,5,14,3,12,7,13
La République du Centre,5,6,12,13,3,4,8,14
La Voix du Nord,6,5,3,4,12,14,13,8
Le Courrier Picard,13,6,12,5,3,7,4,8
Le Dauphiné Libéré,13,5,12,6,3,4,14,8
Le Matin de Lausanne,12,3,6,5,8,13,14,4
Le Parisien,6,4,14,5,12,3,13,7
Le Progrès de Lyon,6,5,3,4,12,14,13,8
Bilto,5,6,13,3,12,8,14,4
Le Quotidien de la Réunion,13,5,12,14,6,3,8,4
Le Télégramme de Brest,13,6,5,12,8,3,4,7
Les 7 de week-end,3,6,5,14,8,13,7,12
Midi-Libre,13,5,12,3,6,7,14,8
Nice Matin,6,3,5,12,13,7,8,4
Nve. Rep. Centre-Ouest,6,3,5,12,8,14,13,4
Ouest-France,6,3,5,13,7,14,12,8
Paris Normandie,6,5,8,12,4,13,3,7
Paris Turf,6,5,3,12,13,14,10,4
Centre Presse Poitiers,3,6,5,12,8,13,7,11
République des Pyrénées,5,12,13,6,3,7,14,4
Week-End,6,5,14,3,13,12,4,8
Charente Libre,6,5,3,4,12,14,13,8
Europe 1,13,3,5,6,8,12,14,4
L'Echo du Centre,6,12,3,13,5,8,14,4
L'Eveil,6,3,5,12,14,13,4,8
L'Yonne Républicaine,13,12,6,3,5,7,14,4
L'indépendant,13,5,6,3,12,14,4,8
