Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,4,6,10,7,13,12,5
La Montagne,6,2,13,10,7,1,11,5
La Provence,7,2,4,12,14,6,10,13
Aisne Nouvelle,7,4,13,6,10,1,2,11
La République du Centre,6,10,7,14,2,3,4,13
La Voix du Nord,6,7,5,13,2,8,1,3
Le Courrier Picard,4,6,2,7,11,13,1,8
Le Dauphiné Libéré,7,6,13,12,2,4,1,5
Le Matin de Lausanne,7,13,12,6,5,2,14,4
Le Parisien,7,6,10,14,4,2,11,15
Le Progrès de Lyon,6,2,7,13,1,14,5,4
Bilto,7,2,6,13,10,4,12,15
Le Quotidien de la Réunion,7,6,5,1,2,8,4,13
Le Télégramme de Brest,7,2,6,13,4,15,12,9
Les 7 de week-end,6,7,13,5,2,4,14,15
Midi-Libre,6,7,4,13,5,2,10,8
Nice Matin,6,2,13,7,5,15,3,11
Nve. Rep. Centre-Ouest,2,6,13,7,5,10,4,12
Ouest-France,2,13,4,7,6,1,5,14
Paris Normandie,6,4,13,14,7,2,1,5
Paris Turf,7,2,13,6,4,5,14,11
Centre Presse Poitiers,6,4,7,2,10,11,13,15
République des Pyrénées,4,2,6,5,7,11,13,14
Week-End,2,4,13,6,11,7,8,5
Charente Libre,6,7,5,13,2,8,1,3
Europe 1,13,6,2,7,5,10,11,8
L'Echo du Centre,2,6,7,13,12,1,4,11
L'Eveil,7,13,2,6,10,14,4,12
L'Yonne Républicaine,6,2,14,7,8,13,1,5
L'indépendant,6,2,7,4,12,5,3,15
