Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,8,7,2,1,4,9,15,3
La Montagne,1,8,7,15,2,4,9,10
La Provence,9,7,2,15,16,14,8,1
Aisne Nouvelle,1,7,15,8,9,2,14,16
La République du Centre,8,15,2,9,4,14,1,7
La Voix du Nord,9,7,1,15,4,2,8,14
Le Courrier Picard,8,4,9,7,1,14,2,3
Le Dauphiné Libéré,2,8,1,9,7,15,10,12
Le Matin de Lausanne,2,1,7,15,11,8,4,9
Le Parisien,7,2,9,4,1,8,14,11
Le Progrès de Lyon,9,2,1,7,8,4,16,14
Bilto,8,2,7,4,1,5,9,12
Le Quotidien de la Réunion,1,9,7,8,4,2,14,15
Le Télégramme de Brest,7,9,14,2,15,11,3,1
Les 7 de week-end,9,15,1,8,4,5,12,10
Midi-Libre,8,15,1,14,9,2,7,4
Nice Matin,2,8,7,4,1,14,9,11
Nve. Rep. Centre-Ouest,2,4,7,8,1,3,9,12
Ouest-France,7,1,14,15,4,9,2,16
Paris Normandie,2,1,14,3,4,9,7,8
Paris Turf,2,15,14,9,7,4,8,1
Centre Presse Poitiers,9,8,4,7,1,10,5,3
République des Pyrénées,9,7,1,15,2,4,16,8
Week-End,8,2,7,9,16,14,12,1
Charente Libre,9,7,1,15,4,2,8,14
Europe 1,8,1,14,7,9,15,5,16
L'Echo du Centre,9,14,8,2,7,15,1,13
L'Eveil,1,8,9,2,15,16,4,7
L'Yonne Républicaine,15,9,11,10,7,3,5,4
L'indépendant,7,1,4,9,14,2,8,11
