Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,8,10,6,2,4,1,3
La Montagne,10,5,6,8,4,3,2,1
La Provence,8,10,5,4,1,2,6,3
Aisne Nouvelle,5,8,10,2,6,4,12,1
La République du Centre,8,2,1,10,6,4,5,3
La Voix du Nord,8,10,4,3,5,1,2,6
Le Courrier Picard,8,10,6,2,3,5,4,1
Le Dauphiné Libéré,10,1,2,8,4,6,3,5
Le Matin de Lausanne,5,8,2,1,10,4,3,6
Le Parisien,8,6,10,4,3,5,1,2
Le Progrès de Lyon,8,10,4,3,5,1,2,6
Bilto,8,5,10,2,3,1,6,4
Le Quotidien de la Réunion,10,6,8,4,3,5,1,2
Le Télégramme de Brest,10,2,8,5,1,3,4,6
Les 7 de week-end,10,8,1,3,4,5,2,6
Midi-Libre,1,4,10,8,5,6,3,12
Nice Matin,8,10,2,6,5,12,1,4
Nve. Rep. Centre-Ouest,8,10,5,4,3,1,2,6
Ouest-France,10,5,4,8,6,1,3,2
Paris Normandie,10,8,2,1,5,4,3,12
Paris Turf,10,6,9,12,8,7,5,2
Centre Presse Poitiers,10,8,5,4,1,3,12,11
République des Pyrénées,8,10,5,2,4,1,6,3
Week-End,5,10,8,3,2,4,6,12
Charente Libre,8,10,4,3,5,1,2,6
Europe 1,8,1,2,6,5,10,4,12
L'Echo du Centre,10,8,3,6,5,4,1,2
L'Eveil,8,2,5,10,6,1,4,3
L'Yonne Républicaine,10,2,5,8,6,1,4,3
L'indépendant,8,10,5,6,4,1,3,2
