Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,12,13,16,7,6,11,14,18
La Montagne,7,13,18,12,16,10,9,5
La Provence,18,9,13,12,7,6,10,11
Aisne Nouvelle,9,12,11,7,13,18,6,16
La République du Centre,12,18,13,6,9,11,15,16
La Voix du Nord,12,18,9,13,11,7,16,10
Le Courrier Picard,13,12,18,6,9,7,8,16
Le Dauphiné Libéré,12,13,11,10,18,7,9,14
Le Matin de Lausanne,18,12,13,9,10,8,7,11
Le Parisien,9,13,11,12,6,18,10,14
Le Progrès de Lyon,12,18,9,13,11,7,16,10
Bilto,13,16,6,15,9,12,7,18
Le Quotidien de la Réunion,12,18,13,7,6,9,8,11
Le Télégramme de Brest,18,12,13,7,11,9,16,15
Les 7 de week-end,13,12,9,18,7,16,15,6
Midi-Libre,13,9,18,12,16,11,8,10
Nice Matin,13,18,12,15,9,16,7,11
Nve. Rep. Centre-Ouest,12,9,13,16,11,6,15,7
Ouest-France,18,12,7,11,14,13,10,9
Paris Normandie,12,9,7,13,18,6,11,10
Paris Turf,18,14,13,11,12,9,7,5
Centre Presse Poitiers,15,6,12,18,14,8,13,2
République des Pyrénées,13,7,11,12,18,15,9,10
Week-End,13,18,12,16,9,7,10,14
Charente Libre,12,18,9,13,11,7,16,10
Europe 1,12,7,16,9,13,18,15,6
L'Echo du Centre,13,12,9,15,14,7,8,18
L'Eveil,11,13,7,12,6,10,9,18
L'Yonne Républicaine,13,12,14,9,8,18,15,6
L'indépendant,12,18,9,13,11,15,7,14
