Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,6,9,13,5,12,11,2
La Montagne,5,3,6,11,9,14,10,12
La Provence,11,3,5,12,6,7,9,13
Aisne Nouvelle,3,5,6,1,11,9,2,12
La République du Centre,11,1,9,3,6,12,7,13
La Voix du Nord,5,3,9,11,6,13,12,1
Le Courrier Picard,3,5,6,1,9,11,14,13
Le Dauphiné Libéré,11,6,3,1,5,9,2,12
Le Matin de Lausanne,5,11,6,12,1,3,14,7
Le Parisien,5,11,3,9,6,1,13,2
Le Progrès de Lyon,5,3,9,11,6,13,12,1
Bilto,5,6,3,1,13,11,7,14
Le Quotidien de la Réunion,5,12,6,13,3,11,1,9
Le Télégramme de Brest,11,5,1,9,6,3,7,12
Les 7 de week-end,1,5,11,3,6,12,7,2
Midi-Libre,5,3,9,11,12,13,6,1
Nice Matin,5,11,6,3,13,12,14,1
Nve. Rep. Centre-Ouest,5,3,11,6,12,9,14,13
Ouest-France,5,6,3,13,1,11,2,12
Paris Normandie,3,6,5,12,1,11,13,2
Paris Turf,3,5,1,6,7,12,14,13
Centre Presse Poitiers,11,14,5,3,6,13,2,10
République des Pyrénées,5,3,11,6,12,13,9,1
Week-End,3,6,5,1,13,11,12,14
Charente Libre,5,3,9,11,6,13,12,1
Europe 1,5,3,11,1,12,6,9,13
L'Echo du Centre,3,6,11,12,5,13,14,10
L'Eveil,3,1,11,5,6,9,13,14
L'Yonne Républicaine,3,6,11,9,5,13,1,14
L'indépendant,3,11,6,5,14,13,12,7
