Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,14,7,6,8,1,3,5,10
La Montagne,14,5,3,10,1,8,7,6
La Provence,1,3,10,14,8,5,6,7
Aisne Nouvelle,1,8,5,10,3,14,6,12
La République du Centre,5,7,14,11,3,8,10,1
La Voix du Nord,5,1,3,14,10,8,12,6
Le Courrier Picard,3,8,10,1,5,7,14,11
Le Dauphiné Libéré,3,5,10,1,14,8,7,12
Le Matin de Lausanne,3,8,1,5,6,10,14,7
Le Parisien,3,8,1,5,10,6,7,12
Le Progrès de Lyon,5,1,3,14,10,8,12,6
Bilto,5,3,14,1,10,8,6,7
Le Quotidien de la Réunion,1,14,3,5,8,10,12,6
Le Télégramme de Brest,5,6,10,14,7,3,8,1
Les 7 de week-end,8,1,3,5,10,14,7,6
Midi-Libre,3,1,5,10,14,8,6,12
Nice Matin,1,5,8,3,6,10,14,12
Nve. Rep. Centre-Ouest,1,3,5,14,7,10,12,8
Ouest-France,1,14,5,8,10,3,7,12
Paris Normandie,8,3,1,14,10,5,7,6
Paris Turf,3,1,5,8,10,14,2,7
Centre Presse Poitiers,3,1,5,14,7,12,6,9
République des Pyrénées,5,14,3,1,8,7,10,12
Week-End,1,5,14,3,7,6,12,10
Charente Libre,3,10,1,8,5,6,7,12
Europe 1,1,8,3,14,10,5,6,7
L'Echo du Centre,14,10,5,7,6,8,3,1
L'Eveil,5,7,10,14,1,3,8,12
L'Yonne Républicaine,1,3,10,8,5,7,14,6
L'indépendant,14,10,3,5,6,1,8,12
