Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,8,7,14,5,6,2,15,1
La Montagne,1,8,5,2,6,7,10,4
La Provence,5,7,6,1,15,9,4,8
Aisne Nouvelle,5,1,8,7,6,4,10,14
La République du Centre,6,7,8,10,4,1,12,14
La Voix du Nord,1,7,8,6,4,5,2,14
Le Courrier Picard,4,14,5,7,2,11,15,1
Le Dauphiné Libéré,8,6,1,15,2,7,4,10
Le Matin de Lausanne,8,6,4,1,15,7,14,5
Le Parisien,8,7,15,1,4,14,2,9
Le Progrès de Lyon,8,7,1,6,2,10,5,9
Bilto,8,1,5,14,6,7,4,2
Le Quotidien de la Réunion,6,1,7,2,8,4,10,5
Le Télégramme de Brest,8,5,2,7,6,10,1,9
Les 7 de week-end,4,5,8,2,14,1,7,15
Midi-Libre,4,6,5,15,1,7,8,14
Nice Matin,14,4,7,1,5,10,6,8
Nve. Rep. Centre-Ouest,1,8,6,4,7,2,14,11
Ouest-France,8,1,7,2,5,4,6,14
Paris Normandie,7,8,4,6,5,10,1,2
Paris Turf,6,1,7,14,8,10,5,2
Centre Presse Poitiers,1,4,8,5,2,6,7,11
République des Pyrénées,8,1,7,6,2,4,15,5
Week-End,4,14,5,8,15,7,9,1
Charente Libre,1,7,8,6,4,5,2,14
Europe 1,8,10,15,7,5,2,6,4
L'Echo du Centre,1,8,5,7,4,2,6,11
L'Eveil,8,6,7,14,4,12,2,1
L'Yonne Républicaine,1,8,14,5,7,10,6,11
L'indépendant,7,6,5,14,1,8,15,12
