Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,7,2,6,14,16,13,5,4
La Montagne,9,6,7,2,16,4,14,8
La Provence,16,9,8,2,7,13,4,6
Aisne Nouvelle,9,7,16,13,6,8,15,2
La République du Centre,6,7,9,16,13,8,5,4
La Voix du Nord,7,16,6,8,9,13,2,5
Le Courrier Picard,16,7,6,2,15,5,14,9
Le Dauphiné Libéré,9,7,2,14,6,16,5,13
Le Matin de Lausanne,6,7,16,9,2,13,14,8
Le Parisien,16,7,6,13,9,14,3,5
Le Progrès de Lyon,7,16,6,8,9,13,2,5
Bilto,16,9,7,6,5,13,2,4
Le Quotidien de la Réunion,16,6,5,13,9,7,14,8
Le Télégramme de Brest,9,6,7,16,5,14,3,13
Les 7 de week-end,7,16,13,9,6,8,4,5
Midi-Libre,7,16,13,2,6,8,5,9
Nice Matin,6,9,7,14,16,2,5,3
Nve. Rep. Centre-Ouest,7,16,6,8,2,9,13,5
Ouest-France,16,2,7,13,14,6,5,9
Paris Normandie,6,16,7,9,2,8,13,14
Paris Turf,7,6,16,5,9,4,14,13
Centre Presse Poitiers,6,8,7,16,5,2,15,10
République des Pyrénées,7,6,5,9,16,14,4,15
Week-End,7,9,13,6,16,5,8,15
Charente Libre,7,16,6,8,9,13,2,5
Europe 1,7,16,2,6,14,13,9,15
L'Echo du Centre,6,7,5,13,16,14,2,3
L'Eveil,16,5,7,6,4,14,2,13
L'Yonne Républicaine,7,5,9,6,2,13,16,3
L'indépendant,7,16,9,2,4,14,6,13
