Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,7,16,4,8,6,12,10,3
La Montagne,7,8,6,3,4,10,16,12
La Provence,7,6,1,8,3,4,16,2
Aisne Nouvelle,7,6,4,16,8,3,1,2
La République du Centre,8,16,10,6,3,7,4,1
La Voix du Nord,6,16,10,8,7,4,3,5
Le Courrier Picard,4,6,3,8,7,1,16,10
Le Dauphiné Libéré,8,6,16,7,4,12,13,10
Le Matin de Lausanne,6,8,16,7,4,10,5,3
Le Parisien,6,16,10,8,7,4,3,5
Le Progrès de Lyon,8,6,4,7,10,16,2,12
Bilto,8,7,6,10,16,3,4,1
Le Quotidien de la Réunion,6,4,7,10,8,16,1,3
Le Télégramme de Brest,6,8,4,16,10,3,12,7
Les 7 de week-end,6,16,7,10,4,3,12,8
Midi-Libre,4,6,8,7,5,10,16,13
Nice Matin,6,16,8,4,10,7,5,3
Nve. Rep. Centre-Ouest,6,4,8,3,7,12,16,2
Ouest-France,6,8,7,12,16,1,4,10
Paris Normandie,6,8,4,3,7,10,16,5
Paris Turf,6,8,10,4,12,16,7,5
Centre Presse Poitiers,8,6,7,13,12,4,1,10
République des Pyrénées,6,7,8,3,4,16,5,1
Week-End,4,7,8,6,12,10,16,3
Charente Libre,6,16,10,8,7,4,3,5
Europe 1,8,6,4,7,1,3,10,2
L'Echo du Centre,8,6,3,16,4,10,12,7
L'Eveil,6,16,8,4,10,7,1,12
L'Yonne Républicaine,6,4,8,7,16,3,1,2
L'indépendant,6,8,4,16,7,12,10,2
