Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,17,5,1,3,10,12,4,7
La Montagne,5,9,4,6,12,10,3,7
La Provence,9,4,10,3,2,5,12,17
Aisne Nouvelle,4,12,9,17,5,10,2,1
La République du Centre,5,3,12,4,2,9,10,17
La Voix du Nord,12,4,10,2,5,3,9,11
Le Courrier Picard,5,3,10,12,1,8,4,9
Le Dauphiné Libéré,4,3,5,9,12,7,10,11
Le Matin de Lausanne,9,4,5,3,10,12,8,17
Le Parisien,12,9,5,17,10,4,3,11
Le Progrès de Lyon,5,12,3,17,9,10,4,1
Bilto,4,5,10,3,1,9,12,17
Le Quotidien de la Réunion,4,12,3,2,10,5,7,9
Le Télégramme de Brest,5,4,3,2,12,9,1,10
Les 7 de week-end,12,9,3,5,4,1,10,7
Midi-Libre,3,10,1,9,5,2,4,12
Nice Matin,9,4,3,12,5,1,8,7
Nve. Rep. Centre-Ouest,4,9,5,3,17,12,1,10
Ouest-France,4,5,12,3,9,1,17,7
Paris Normandie,5,10,4,3,9,17,12,16
Paris Turf,9,17,10,1,5,3,8,4
Centre Presse Poitiers,4,5,9,10,3,17,12,13
République des Pyrénées,5,9,4,3,17,12,11,10
Week-End,4,9,5,12,7,17,10,3
Charente Libre,12,4,10,2,5,3,9,11
Europe 1,5,12,17,3,4,9,10,1
L'Echo du Centre,9,12,10,3,17,5,4,6
L'Eveil,10,3,5,4,12,9,2,16
L'Yonne Républicaine,5,4,3,10,9,12,2,17
L'indépendant,5,9,3,10,4,12,2,11
