Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,12,9,11,2,14,3,1
La Montagne,9,5,12,2,11,14,13,1
La Provence,12,5,9,14,13,11,2,1
Aisne Nouvelle,11,14,5,3,12,9,1,2
La République du Centre,9,12,2,5,1,11,14,3
La Voix du Nord,14,5,9,2,1,3,12,10
Le Courrier Picard,14,5,9,2,1,12,8,11
Le Dauphiné Libéré,5,9,14,2,1,11,12,13
Le Matin de Lausanne,9,3,11,12,14,10,5,2
Le Parisien,14,11,12,5,9,2,3,1
Le Progrès de Lyon,14,5,9,2,1,3,12,10
Bilto,12,3,14,2,5,9,11,8
Le Quotidien de la Réunion,2,12,5,9,14,1,10,11
Le Télégramme de Brest,14,2,5,3,12,1,10,9
Les 7 de week-end,2,14,12,5,11,10,9,13
Midi-Libre,14,2,5,3,9,12,1,4
Nice Matin,9,1,14,12,3,5,10,2
Nve. Rep. Centre-Ouest,14,5,9,2,12,11,3,1
Ouest-France,5,2,9,12,14,3,11,1
Paris Normandie,5,14,2,9,12,13,1,10
Paris Turf,13,5,2,12,14,10,9,11
Centre Presse Poitiers,12,9,14,5,10,2,1,8
République des Pyrénées,2,12,5,1,14,3,9,11
Week-End,5,9,1,12,14,2,8,11
Charente Libre,14,5,9,2,1,3,12,10
Europe 1,5,9,2,11,14,10,12,7
L'Echo du Centre,12,5,3,14,9,2,11,1
L'Eveil,5,11,9,1,14,2,12,3
L'Yonne Républicaine,14,9,2,3,12,5,11,13
L'indépendant,14,12,9,1,2,5,10,11
