Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,14,13,16,10,3,5,2,8
La Montagne,14,13,5,16,12,3,8,10
La Provence,14,13,3,6,10,16,8,5
Aisne Nouvelle,8,14,13,10,3,16,15,5
La République du Centre,5,13,14,16,3,8,10,12
La Voix du Nord,14,13,3,16,8,5,6,10
Le Courrier Picard,16,13,3,14,5,12,8,9
Le Dauphiné Libéré,5,13,3,14,8,16,12,10
Le Matin de Lausanne,14,13,8,12,3,10,5,16
Le Parisien,10,3,14,16,13,8,12,1
Le Progrès de Lyon,14,13,3,16,8,5,6,10
Bilto,14,16,13,3,8,5,10,2
Le Quotidien de la Réunion,5,13,14,8,16,3,2,12
Le Télégramme de Brest,14,3,16,13,8,5,9,15
Les 7 de week-end,14,16,5,3,13,12,10,6
Midi-Libre,13,14,3,5,16,10,12,7
Nice Matin,10,14,13,5,16,3,12,2
Nve. Rep. Centre-Ouest,14,3,8,13,16,6,10,5
Ouest-France,14,16,13,3,5,8,12,10
Paris Normandie,13,14,16,3,5,10,8,12
Paris Turf,14,16,13,12,8,3,10,5
Centre Presse Poitiers,3,14,8,12,6,13,15,9
République des Pyrénées,14,16,3,5,13,10,9,8
Week-End,16,3,13,8,14,5,9,2
Charente Libre,3,14,12,16,13,8,5,6
Europe 1,5,13,3,16,8,14,12,2
L'Echo du Centre,3,13,5,14,16,10,12,2
L'Eveil,14,3,13,5,16,12,10,8
L'Yonne Républicaine,13,3,5,14,16,8,10,15
L'indépendant,5,14,13,3,12,8,16,11
