Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,13,2,10,12,4,5,1,9
La Montagne,13,4,10,12,3,2,5,9
La Provence,13,7,10,4,11,9,2,5
Aisne Nouvelle,13,9,10,12,11,5,7,2
La République du Centre,13,3,4,10,11,9,12,7
La Voix du Nord,3,10,13,9,2,4,7,12
Le Courrier Picard,3,7,9,13,4,12,2,10
Le Dauphiné Libéré,4,7,10,5,11,13,3,12
Le Matin de Lausanne,13,4,9,5,10,3,11,8
Le Parisien,10,13,12,7,5,9,3,4
Le Progrès de Lyon,13,12,10,4,7,2,9,8
Bilto,13,5,7,4,9,8,10,2
Le Quotidien de la Réunion,9,3,10,4,13,2,12,7
Le Télégramme de Brest,5,4,10,9,13,7,8,1
Les 7 de week-end,3,9,5,7,13,11,4,10
Midi-Libre,13,3,7,10,12,5,4,11
Nice Matin,13,10,2,3,12,7,4,6
Nve. Rep. Centre-Ouest,7,9,13,4,3,10,1,5
Ouest-France,13,5,10,4,7,11,2,12
Paris Normandie,10,9,13,4,3,7,2,12
Paris Turf,12,13,3,8,11,7,5,4
Centre Presse Poitiers,13,4,10,3,12,5,8,7
République des Pyrénées,4,10,3,13,5,2,7,9
Week-End,10,9,4,13,11,5,8,7
Charente Libre,3,10,13,9,2,4,7,12
Europe 1,10,5,7,3,11,4,13,2
L'Echo du Centre,10,13,4,7,12,5,11,6
L'Eveil,4,5,7,10,13,3,12,11
L'Yonne Républicaine,3,10,13,12,11,5,7,4
L'indépendant,4,3,9,7,13,10,12,14
