Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,9,11,8,14,3,6,7
La Montagne,11,9,3,6,7,8,2,5
La Provence,3,7,14,2,9,6,11,5
Aisne Nouvelle,5,3,14,7,11,9,8,2
La République du Centre,11,6,2,7,3,8,5,14
La Voix du Nord,3,9,11,7,14,5,2,6
Le Courrier Picard,14,7,5,10,6,2,8,9
Le Dauphiné Libéré,9,7,2,5,6,14,3,11
Le Matin de Lausanne,14,7,8,5,12,11,10,9
Le Parisien,5,9,6,10,11,14,2,3
Le Progrès de Lyon,3,9,11,7,14,5,2,6
Bilto,3,2,5,6,7,8,9,11
Le Quotidien de la Réunion,11,5,2,3,7,6,9,10
Le Télégramme de Brest,3,2,11,7,5,9,6,8
Les 7 de week-end,5,7,14,3,2,9,6,11
Midi-Libre,14,11,10,9,7,8,5,12
Nice Matin,11,14,2,9,3,10,5,6
Nve. Rep. Centre-Ouest,3,11,14,9,7,2,5,6
Ouest-France,2,6,11,9,3,8,7,10
Paris Normandie,3,6,7,8,9,11,2,5
Paris Turf,14,12,11,10,9,7,8,5
Centre Presse Poitiers,11,3,14,9,6,2,8,10
République des Pyrénées,5,6,3,14,9,7,11,8
Week-End,3,2,9,6,11,5,7,14
Charente Libre,9,11,7,3,5,6,2,8
Europe 1,5,9,11,7,14,3,2,6
L'Echo du Centre,11,7,9,8,3,2,6,5
L'Eveil,5,3,7,9,11,6,2,10
L'Yonne Républicaine,9,3,11,6,14,5,7,2
L'indépendant,14,11,9,6,5,7,2,8
