Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,5,11,4,14,3,1,2,10
La Montagne,1,16,11,7,14,3,5,4
La Provence,1,5,10,3,7,11,2,12
Aisne Nouvelle,5,3,11,4,7,1,13,10
La République du Centre,3,5,1,10,11,12,7,20
La Voix du Nord,5,16,10,11,3,8,1,4
Le Courrier Picard,5,10,11,4,16,1,7,3
Le Dauphiné Libéré,3,11,10,16,1,5,6,7
Le Matin de Lausanne,5,11,10,7,3,16,1,2
Le Parisien,3,7,5,11,1,10,13,2
Le Progrès de Lyon,5,7,1,4,3,16,14,6
Bilto,1,11,3,5,16,2,7,10
Le Quotidien de la Réunion,11,5,16,1,3,4,14,7
Le Télégramme de Brest,11,10,1,3,5,4,14,7
Les 7 de week-end,5,11,1,7,10,16,3,14
Midi-Libre,1,11,5,7,10,3,16,8
Nice Matin,11,3,10,1,5,12,14,7
Nve. Rep. Centre-Ouest,3,5,1,4,16,11,10,2
Ouest-France,5,1,4,10,3,6,16,11
Paris Normandie,10,1,3,5,11,16,13,14
Paris Turf,5,11,1,10,16,4,2,7
Centre Presse Poitiers,5,3,7,11,4,13,10,1
République des Pyrénées,5,1,11,16,4,3,9,7
Week-End,5,16,4,7,3,10,20,11
Charente Libre,5,16,10,11,3,8,1,4
Europe 1,3,5,7,1,2,6,11,16
L'Echo du Centre,3,5,1,7,4,11,10,9
L'Eveil,1,3,16,4,5,10,7,11
L'Yonne Républicaine,10,3,16,5,14,11,6,1
L'indépendant,3,11,5,1,4,16,10,20
