Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,4,11,1,6,12,3,7
La Montagne,6,3,11,5,2,4,12,1
La Provence,11,6,3,7,12,2,4,5
Aisne Nouvelle,6,11,2,5,3,4,1,7
La République du Centre,11,6,4,3,2,12,7,5
La Voix du Nord,11,2,6,5,4,3,7,12
Le Courrier Picard,11,4,2,7,6,3,5,12
Le Dauphiné Libéré,6,4,11,7,1,5,12,2
Le Matin de Lausanne,4,6,2,3,11,5,7,12
Le Parisien,11,2,6,5,4,3,7,12
Le Progrès de Lyon,6,11,12,2,7,1,4,5
Bilto,11,2,3,7,12,4,6,1
Le Quotidien de la Réunion,6,2,11,3,12,4,5,7
Le Télégramme de Brest,11,6,12,4,3,2,7,5
Les 7 de week-end,6,11,4,5,2,3,1,7
Midi-Libre,4,11,2,6,7,1,5,3
Nice Matin,11,2,6,4,7,5,3,12
Nve. Rep. Centre-Ouest,11,2,6,7,4,5,3,12
Ouest-France,6,4,11,2,3,7,5,12
Paris Normandie,6,4,7,2,3,1,11,12
Paris Turf,4,2,6,11,1,3,12,5
Centre Presse Poitiers,2,4,11,6,7,12,1,9
République des Pyrénées,6,11,3,2,4,12,5,1
Week-End,6,4,2,3,5,7,11,12
Charente Libre,11,2,6,5,4,3,7,12
Europe 1,11,6,2,4,5,3,1,12
L'Echo du Centre,2,6,11,7,3,12,4,5
L'Eveil,11,2,6,4,7,12,3,5
L'Yonne Républicaine,4,2,11,6,3,5,1,12
L'indépendant,6,2,11,4,5,1,12,3
