Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,13,8,5,1,15,10,12,3
La Montagne,1,13,8,4,5,12,15,10
La Provence,13,15,1,4,12,10,5,8
Aisne Nouvelle,13,4,12,5,8,15,9,10
La République du Centre,12,10,15,13,8,1,3,9
La Voix du Nord,12,13,15,5,8,4,1,10
Le Courrier Picard,13,10,4,12,9,15,8,1
Le Dauphiné Libéré,12,10,8,13,4,15,1,5
Le Matin de Lausanne,1,13,15,12,10,8,9,4
Le Parisien,13,15,12,5,4,8,10,1
Le Progrès de Lyon,12,13,15,5,8,4,1,10
Bilto,13,12,15,10,8,5,11,1
Le Quotidien de la Réunion,15,12,8,10,5,4,1,13
Le Télégramme de Brest,15,13,8,12,10,5,9,1
Les 7 de week-end,13,15,8,10,9,12,3,4
Midi-Libre,12,13,8,4,1,10,9,15
Nice Matin,13,15,8,12,10,4,9,5
Nve. Rep. Centre-Ouest,12,8,13,15,1,5,10,4
Ouest-France,13,10,4,12,1,15,8,9
Paris Normandie,15,13,12,10,1,8,4,9
Paris Turf,13,12,15,14,8,11,1,4
Centre Presse Poitiers,8,12,13,15,1,10,9,3
République des Pyrénées,12,10,15,13,4,5,1,8
Week-End,12,1,15,5,9,10,13,4
Charente Libre,12,13,15,5,8,4,1,10
Europe 1,8,13,12,1,15,10,4,9
L'Echo du Centre,13,12,15,9,1,10,8,3
L'Eveil,15,8,12,10,5,4,9,13
L'Yonne Républicaine,15,10,12,13,9,4,8,5
L'indépendant,15,8,13,12,10,1,4,5
