Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,1,15,6,3,9,4,14
La Montagne,2,6,9,3,1,15,7,14
La Provence,9,1,2,3,6,15,7,4
Aisne Nouvelle,1,2,3,4,6,15,7,9
La République du Centre,3,1,4,2,15,9,6,7
La Voix du Nord,2,3,1,15,4,6,9,7
Le Courrier Picard,2,3,1,9,15,4,6,16
Le Dauphiné Libéré,1,3,6,2,9,4,15,7
Le Matin de Lausanne,15,9,3,2,1,4,6,5
Le Parisien,2,3,1,15,4,6,9,7
Le Progrès de Lyon,2,6,4,9,1,3,15,7
Bilto,1,2,15,3,4,9,6,7
Le Quotidien de la Réunion,1,3,2,4,6,7,9,15
Le Télégramme de Brest,1,3,6,9,2,4,7,15
Les 7 de week-end,3,2,9,1,4,6,7,15
Midi-Libre,2,1,6,3,15,4,7,9
Nice Matin,2,1,3,6,9,4,15,16
Nve. Rep. Centre-Ouest,2,1,9,3,15,4,6,7
Ouest-France,2,6,4,1,3,15,9,7
Paris Normandie,1,4,2,9,15,6,3,16
Paris Turf,1,2,6,3,4,16,15,9
Centre Presse Poitiers,15,9,2,1,3,8,7,5
République des Pyrénées,2,3,4,1,6,9,15,7
Week-End,3,4,2,1,15,7,6,9
Charente Libre,2,3,1,15,4,6,9,7
Europe 1,2,15,1,3,4,9,6,14
L'Echo du Centre,1,3,2,9,4,15,6,7
L'Eveil,1,15,3,4,2,6,9,7
L'Yonne Républicaine,2,1,6,9,4,15,3,8
L'indépendant,2,1,15,3,9,4,6,7
