Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,1,11,8,14,4,5,12
La Montagne,2,1,5,9,14,6,3,8
La Provence,2,9,4,1,11,8,14,3
Aisne Nouvelle,1,11,2,3,4,8,6,9
La République du Centre,1,11,8,9,2,4,12,3
La Voix du Nord,1,2,9,14,8,7,11,12
Le Courrier Picard,1,9,14,11,4,2,8,12
Le Dauphiné Libéré,1,2,11,8,9,5,12,4
Le Matin de Lausanne,9,1,8,4,14,7,2,3
Le Parisien,2,1,9,11,8,12,14,7
Le Progrès de Lyon,1,9,2,8,5,14,6,11
Bilto,2,1,11,8,6,9,4,14
Le Quotidien de la Réunion,1,9,2,11,8,4,6,12
Le Télégramme de Brest,1,9,8,11,2,14,12,4
Les 7 de week-end,1,2,9,14,4,5,11,7
Midi-Libre,8,1,9,14,2,5,4,12
Nice Matin,9,1,2,11,4,8,14,7
Nve. Rep. Centre-Ouest,1,4,2,8,5,3,9,11
Ouest-France,2,1,14,8,11,9,7,4
Paris Normandie,1,8,9,14,2,4,6,11
Paris Turf,1,9,14,2,11,7,12,8
Centre Presse Poitiers,4,1,2,8,5,9,6,14
République des Pyrénées,2,8,11,9,1,6,7,4
Week-End,9,1,8,4,2,14,6,3
Charente Libre,1,2,9,14,8,7,11,12
Europe 1,1,2,9,11,4,8,6,3
L'Echo du Centre,1,8,9,11,6,2,4,14
L'Eveil,1,9,2,8,4,14,5,12
L'Yonne Républicaine,1,2,9,8,5,4,14,6
L'indépendant,1,2,8,11,9,14,5,4
