Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,7,1,14,9,13,5,2
La Montagne,16,1,3,14,11,5,15,13
La Provence,13,16,9,7,1,3,11,15
Aisne Nouvelle,3,1,14,16,5,15,7,9
La République du Centre,14,16,13,3,15,5,12,6
La Voix du Nord,3,13,7,14,12,9,11,1
Le Courrier Picard,16,3,1,14,8,7,10,13
Le Dauphiné Libéré,3,14,1,13,7,15,16,11
Le Matin de Lausanne,3,14,13,7,1,11,5,16
Le Parisien,1,13,3,16,7,14,2,9
Le Progrès de Lyon,14,3,13,9,7,11,16,1
Bilto,3,1,7,16,13,14,9,11
Le Quotidien de la Réunion,1,3,13,16,14,12,11,7
Le Télégramme de Brest,14,7,16,3,1,6,9,13
Les 7 de week-end,3,1,13,7,16,12,14,15
Midi-Libre,3,14,16,7,1,6,2,11
Nice Matin,1,13,16,3,11,14,5,6
Nve. Rep. Centre-Ouest,14,3,1,16,7,12,15,13
Ouest-France,3,7,14,11,5,6,1,13
Paris Normandie,7,3,9,13,1,16,5,6
Paris Turf,7,1,13,14,3,11,12,2
Centre Presse Poitiers,14,1,7,16,3,15,13,12
République des Pyrénées,14,3,7,1,11,9,16,6
Week-End,1,3,13,7,16,14,5,9
Charente Libre,3,13,7,14,12,9,11,1
Europe 1,7,14,1,9,13,16,11,3
L'Echo du Centre,3,14,1,15,5,7,2,6
L'Eveil,1,3,14,7,9,16,13,10
L'Yonne Républicaine,1,3,9,13,14,16,6,7
L'indépendant,3,14,8,1,7,16,5,13
