Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,10,6,14,8,7,9,11
La Montagne,14,3,6,10,7,9,8,13
La Provence,10,6,3,11,14,13,8,7
Aisne Nouvelle,10,14,3,8,7,11,13,6
La République du Centre,14,11,3,6,9,10,8,7
La Voix du Nord,14,3,10,11,8,7,6,9
Le Courrier Picard,14,6,3,10,8,13,11,7
Le Dauphiné Libéré,14,3,8,10,6,7,9,11
Le Matin de Lausanne,10,3,6,14,7,11,9,13
Le Parisien,3,14,10,11,8,7,6,9
Le Progrès de Lyon,14,3,10,11,8,7,6,9
Bilto,6,3,14,9,10,11,8,7
Le Quotidien de la Réunion,3,10,14,11,9,6,13,8
Le Télégramme de Brest,3,8,14,10,11,6,7,9
Les 7 de week-end,10,6,14,3,8,13,7,9
Midi-Libre,10,11,3,14,6,13,7,9
Nice Matin,6,3,14,10,8,7,9,11
Nve. Rep. Centre-Ouest,14,3,10,11,6,8,7,13
Ouest-France,3,10,6,8,14,11,7,9
Paris Normandie,10,14,3,9,7,6,8,11
Paris Turf,14,10,9,8,3,6,13,7
Centre Presse Poitiers,3,11,14,10,6,9,13,2
République des Pyrénées,6,10,14,3,8,11,13,7
Week-End,3,6,14,10,7,9,8,11
Charente Libre,14,3,10,11,8,7,6,9
Europe 1,10,14,3,6,8,7,9,11
L'Echo du Centre,14,6,3,10,11,9,8,7
L'Eveil,3,14,10,6,8,7,9,13
L'Yonne Républicaine,10,14,6,9,3,11,7,8
L'indépendant,6,3,10,9,14,8,11,7
