Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,10,2,4,12,1,9,16
La Montagne,4,10,12,3,9,7,1,2
La Provence,4,12,10,1,7,9,3,11
Aisne Nouvelle,9,12,1,16,10,4,8,7
La République du Centre,4,12,16,3,10,9,2,1
La Voix du Nord,4,3,9,10,11,6,12,2
Le Courrier Picard,4,10,3,12,7,2,8,9
Le Dauphiné Libéré,4,12,10,7,9,1,3,16
Le Matin de Lausanne,12,4,10,1,9,3,2,8
Le Parisien,10,3,9,12,4,1,7,6
Le Progrès de Lyon,4,3,10,12,7,1,15,9
Bilto,4,9,3,10,1,8,11,12
Le Quotidien de la Réunion,6,4,9,3,2,10,12,1
Le Télégramme de Brest,4,9,3,10,2,12,1,8
Les 7 de week-end,4,9,7,1,12,10,2,3
Midi-Libre,10,4,12,8,7,11,2,9
Nice Matin,10,4,2,9,7,12,15,8
Nve. Rep. Centre-Ouest,4,9,7,12,3,16,10,1
Ouest-France,3,10,4,9,7,6,12,1
Paris Normandie,12,4,10,3,7,16,8,15
Paris Turf,4,10,12,9,3,8,11,7
Centre Presse Poitiers,12,4,7,9,3,10,16,6
République des Pyrénées,4,10,3,7,12,9,16,11
Week-End,9,3,4,10,12,1,16,8
Charente Libre,4,3,9,10,11,6,12,2
Europe 1,10,3,12,4,7,9,1,11
L'Echo du Centre,4,3,12,9,10,8,16,6
L'Eveil,4,1,3,2,10,12,9,11
L'Yonne Républicaine,12,3,4,2,9,16,10,6
L'indépendant,10,4,12,3,8,1,9,7
