Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,15,9,5,1,6,8,14,10
La Montagne,9,8,15,6,5,1,12,7
La Provence,9,13,15,7,8,14,4,6
Aisne Nouvelle,8,6,15,14,7,9,12,13
La République du Centre,15,14,1,8,9,13,5,12
La Voix du Nord,9,15,12,6,14,13,8,1
Le Courrier Picard,9,13,6,1,8,15,4,12
Le Dauphiné Libéré,9,8,14,12,15,4,6,16
Le Matin de Lausanne,15,6,1,9,14,12,13,7
Le Parisien,15,12,6,14,8,5,1,10
Le Progrès de Lyon,15,12,9,8,6,13,4,14
Bilto,9,15,12,1,13,6,7,14
Le Quotidien de la Réunion,14,9,15,8,12,13,4,6
Le Télégramme de Brest,15,9,5,4,8,6,13,12
Les 7 de week-end,6,12,9,1,15,14,13,8
Midi-Libre,8,13,14,12,6,15,1,5
Nice Matin,9,12,14,5,6,8,15,4
Nve. Rep. Centre-Ouest,15,12,1,13,9,5,6,14
Ouest-France,15,12,14,5,1,9,8,13
Paris Normandie,9,12,8,13,1,4,15,14
Paris Turf,9,14,8,6,1,15,12,13
Centre Presse Poitiers,9,15,14,12,8,6,5,1
République des Pyrénées,12,15,14,1,6,7,5,9
Week-End,9,14,12,13,8,1,6,4
Charente Libre,9,15,12,6,14,13,8,1
Europe 1,15,12,5,9,1,7,8,6
L'Echo du Centre,12,6,14,8,1,9,15,2
L'Eveil,1,12,9,15,7,14,13,10
L'Yonne Républicaine,14,12,6,15,9,8,5,4
L'indépendant,8,1,9,15,12,4,5,13
