Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,7,3,1,10,14,4,15,2
La Montagne,10,7,1,5,4,15,11,14
La Provence,15,7,4,10,2,1,14,3
Aisne Nouvelle,2,7,4,11,15,3,10,1
La République du Centre,7,15,4,5,14,2,3,1
La Voix du Nord,7,11,15,4,14,16,10,2
Le Courrier Picard,15,7,3,5,14,4,10,16
Le Dauphiné Libéré,7,4,1,15,3,2,10,14
Le Matin de Lausanne,15,7,5,14,4,1,10,2
Le Parisien,7,11,15,4,14,16,10,2
Le Progrès de Lyon,4,7,15,10,14,3,5,2
Bilto,7,1,5,3,15,4,2,11
Le Quotidien de la Réunion,15,7,1,10,4,11,5,14
Le Télégramme de Brest,7,10,15,2,4,5,14,1
Les 7 de week-end,4,7,10,15,3,1,14,5
Midi-Libre,4,7,2,15,1,10,3,11
Nice Matin,15,5,4,14,7,1,2,10
Nve. Rep. Centre-Ouest,7,15,4,11,2,10,14,5
Ouest-France,10,15,4,7,1,14,5,3
Paris Normandie,15,7,10,2,14,4,11,3
Paris Turf,1,7,5,15,3,4,10,14
Centre Presse Poitiers,15,7,4,3,5,1,10,14
République des Pyrénées,10,15,4,1,14,7,3,5
Week-End,7,15,4,14,1,10,11,2
Charente Libre,7,11,15,4,14,16,10,2
Europe 1,15,4,10,3,14,7,1,2
L'Echo du Centre,4,15,5,2,7,10,3,11
L'Eveil,5,15,7,1,4,10,14,2
L'Yonne Républicaine,15,10,1,2,4,11,14,7
L'indépendant,15,7,14,2,4,3,10,5
