Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,1,7,9,4,8,6,14,3
La Montagne,6,1,9,4,12,5,8,3
La Provence,4,3,6,9,8,5,1,15
Aisne Nouvelle,4,6,8,14,1,3,9,7
La République du Centre,6,9,4,1,8,7,14,3
La Voix du Nord,6,4,1,12,7,14,3,9
Le Courrier Picard,1,4,3,6,7,8,5,12
Le Dauphiné Libéré,4,1,6,8,7,3,9,14
Le Matin de Lausanne,1,6,4,9,5,8,12,7
Le Parisien,6,4,1,12,7,14,3,9
Le Progrès de Lyon,6,4,8,14,7,12,1,2
Bilto,6,4,1,2,8,7,3,10
Le Quotidien de la Réunion,1,4,6,3,9,5,8,10
Le Télégramme de Brest,1,4,14,6,3,2,9,12
Les 7 de week-end,1,6,4,8,12,3,10,7
Midi-Libre,4,6,8,9,1,7,2,14
Nice Matin,1,6,8,4,9,14,3,12
Nve. Rep. Centre-Ouest,6,1,4,14,12,7,9,3
Ouest-France,4,8,1,9,6,2,3,14
Paris Normandie,6,4,9,8,1,12,7,5
Paris Turf,4,6,8,7,1,15,9,10
Centre Presse Poitiers,1,6,8,2,5,4,9,12
République des Pyrénées,1,4,6,8,3,2,7,9
Week-End,6,4,1,8,3,14,5,9
Charente Libre,6,4,1,12,7,14,3,9
Europe 1,6,8,1,4,9,14,3,2
L'Echo du Centre,6,4,1,9,2,8,3,7
L'Eveil,1,6,4,8,5,14,3,9
L'Yonne Républicaine,4,1,9,8,6,5,7,14
L'indépendant,1,4,8,6,14,9,3,5
