Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,8,11,1,2,5,12,3,7
La Montagne,8,7,6,11,1,12,5,10
La Provence,8,11,7,6,5,3,2,1
Aisne Nouvelle,11,8,7,3,9,6,2,1
La République du Centre,8,1,11,9,7,6,5,3
La Voix du Nord,8,9,7,11,6,5,3,1
Le Courrier Picard,8,9,7,5,11,14,16,6
Le Dauphiné Libéré,6,11,8,3,9,7,10,1
Le Matin de Lausanne,8,11,7,6,3,1,16,14
Le Parisien,8,9,7,11,6,5,3,1
Le Progrès de Lyon,8,1,9,6,5,7,3,11
Bilto,8,11,6,5,3,1,9,7
Le Quotidien de la Réunion,11,8,1,7,6,3,12,16
Le Télégramme de Brest,8,7,3,2,9,1,12,11
Les 7 de week-end,8,7,11,6,2,9,1,16
Midi-Libre,8,5,3,1,9,7,11,6
Nice Matin,8,1,7,11,6,9,16,10
Nve. Rep. Centre-Ouest,8,9,7,11,6,3,5,1
Ouest-France,11,8,2,5,7,12,3,10
Paris Normandie,6,5,3,8,1,11,9,7
Paris Turf,8,10,2,7,11,12,14,16
Centre Presse Poitiers,9,8,7,6,5,1,2,10
République des Pyrénées,8,6,5,3,1,9,7,11
Week-End,8,9,3,2,7,11,6,10
Charente Libre,7,11,3,8,1,14,12,16
Europe 1,8,11,7,1,9,6,16,2
L'Echo du Centre,7,6,8,1,11,9,10,14
L'Eveil,8,7,9,11,16,1,5,3
L'Yonne Républicaine,1,9,7,11,6,8,5,3
L'indépendant,8,7,11,1,2,10,6,9
