Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,14,4,5,11,13,2,3,1
La Montagne,4,5,14,11,12,13,1,8
La Provence,14,13,4,3,2,1,5,12
Aisne Nouvelle,4,5,13,3,14,1,11,12
La République du Centre,1,13,4,5,11,12,14,2
La Voix du Nord,13,4,14,2,5,1,3,12
Le Courrier Picard,13,5,1,4,14,11,2,6
Le Dauphiné Libéré,13,4,5,11,14,2,3,12
Le Matin de Lausanne,14,5,11,4,13,2,1,8
Le Parisien,13,4,14,2,5,1,3,12
Le Progrès de Lyon,5,4,13,11,14,12,2,1
Bilto,4,14,1,13,5,11,2,8
Le Quotidien de la Réunion,5,13,4,14,12,1,8,2
Le Télégramme de Brest,4,14,5,13,1,11,12,3
Les 7 de week-end,14,13,4,1,5,11,8,3
Midi-Libre,13,5,4,3,2,14,11,1
Nice Matin,4,13,14,2,3,5,12,8
Nve. Rep. Centre-Ouest,4,14,5,6,3,13,1,8
Ouest-France,13,14,1,3,4,2,5,11
Paris Normandie,4,1,5,14,12,2,13,11
Paris Turf,13,4,14,5,1,2,7,11
Centre Presse Poitiers,14,4,5,8,6,13,11,2
République des Pyrénées,13,1,4,2,5,3,11,14
Week-End,4,5,3,11,13,14,1,12
Charente Libre,13,4,14,2,5,1,3,12
Europe 1,4,14,5,13,1,2,3,8
L'Echo du Centre,14,5,4,13,1,3,2,11
L'Eveil,5,4,13,1,2,14,12,3
L'Yonne Républicaine,14,13,4,5,11,2,1,3
L'indépendant,4,5,13,14,11,1,12,3
