Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,1,10,3,12,4,2,5,9
La Montagne,2,12,1,4,10,7,3,8
La Provence,2,1,12,3,4,10,8,5
Aisne Nouvelle,2,1,4,12,5,3,7,10
La République du Centre,2,3,1,12,7,4,10,8
La Voix du Nord,1,12,2,4,3,7,14,10
Le Courrier Picard,1,2,10,4,3,7,12,8
Le Dauphiné Libéré,2,12,1,3,4,10,7,14
Le Matin de Lausanne,2,1,12,10,3,14,13,4
Le Parisien,1,12,2,4,3,7,14,10
Le Progrès de Lyon,12,2,3,14,1,4,5,10
Bilto,12,10,3,4,2,1,5,14
Le Quotidien de la Réunion,12,10,1,3,2,4,7,6
Le Télégramme de Brest,12,1,10,3,2,14,7,4
Les 7 de week-end,2,3,12,1,10,5,4,7
Midi-Libre,1,3,10,4,7,2,12,5
Nice Matin,1,2,4,10,12,3,7,14
Nve. Rep. Centre-Ouest,1,12,2,3,10,4,7,14
Ouest-France,10,1,12,2,4,3,5,7
Paris Normandie,1,2,12,3,10,7,4,9
Paris Turf,2,1,3,5,4,8,12,13
Centre Presse Poitiers,12,3,1,2,14,10,7,9
République des Pyrénées,1,2,3,12,7,14,10,4
Week-End,1,2,3,10,12,7,4,9
Charente Libre,1,12,2,4,3,7,14,10
Europe 1,12,1,10,7,2,5,14,4
L'Echo du Centre,2,12,1,3,7,8,10,13
L'Eveil,10,1,4,3,2,12,8,7
L'Yonne Républicaine,1,10,3,2,5,12,4,14
L'indépendant,3,4,10,2,1,12,7,5
