Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,4,12,9,1,13,5,7,8
La Montagne,12,7,9,1,4,13,11,5
La Provence,4,12,13,9,7,5,1,2
Aisne Nouvelle,9,12,7,1,5,13,4,2
La République du Centre,12,4,9,13,7,5,8,1
La Voix du Nord,12,9,7,4,1,5,13,2
Le Courrier Picard,9,12,4,13,1,8,7,5
Le Dauphiné Libéré,9,12,7,4,5,1,2,13
Le Matin de Lausanne,7,12,9,5,1,13,4,11
Le Parisien,12,13,9,7,4,1,5,11
Le Progrès de Lyon,1,7,12,5,4,9,13,8
Bilto,12,1,9,7,13,5,8,2
Le Quotidien de la Réunion,9,12,7,1,4,5,2,13
Le Télégramme de Brest,9,4,7,1,12,13,11,2
Les 7 de week-end,12,1,7,5,9,4,13,11
Midi-Libre,9,7,12,4,5,13,1,3
Nice Matin,9,4,7,12,13,1,11,8
Nve. Rep. Centre-Ouest,9,13,12,5,4,7,2,1
Ouest-France,12,13,1,9,7,4,8,5
Paris Normandie,1,9,12,7,13,4,2,5
Paris Turf,12,9,4,7,13,1,2,5
Centre Presse Poitiers,7,9,1,12,5,4,13,2
République des Pyrénées,1,7,12,9,5,4,13,3
Week-End,12,4,9,5,13,7,11,1
Charente Libre,12,9,7,4,1,5,13,2
Europe 1,9,7,4,13,1,5,12,11
L'Echo du Centre,9,7,1,13,12,4,5,8
L'Eveil,9,12,5,7,13,1,8,4
L'Yonne Républicaine,4,12,5,9,13,7,1,11
L'indépendant,9,4,12,1,8,7,13,11
