Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,8,6,5,10,1,9,3
La Montagne,6,1,2,13,10,9,5,3
La Provence,6,5,4,8,1,9,2,14
Aisne Nouvelle,1,6,2,5,8,10,11,13
La République du Centre,6,10,2,5,1,9,3,4
La Voix du Nord,6,2,1,5,8,4,11,10
Le Courrier Picard,6,2,8,9,10,5,4,1
Le Dauphiné Libéré,6,5,2,4,13,10,1,8
Le Matin de Lausanne,6,2,5,1,9,8,4,10
Le Parisien,6,2,1,5,8,4,11,10
Le Progrès de Lyon,2,8,9,6,4,10,5,1
Bilto,6,5,2,4,8,1,13,9
Le Quotidien de la Réunion,6,5,8,4,2,1,9,3
Le Télégramme de Brest,6,8,1,5,2,4,10,13
Les 7 de week-end,6,10,5,2,9,4,1,3
Midi-Libre,1,8,6,13,9,10,4,2
Nice Matin,6,2,10,5,1,9,4,13
Nve. Rep. Centre-Ouest,6,2,10,5,1,13,8,9
Ouest-France,2,4,6,5,9,10,1,13
Paris Normandie,6,5,10,8,2,9,4,1
Paris Turf,4,1,2,6,8,5,3,7
Centre Presse Poitiers,10,9,6,5,13,2,3,15
République des Pyrénées,2,6,1,5,10,8,7,4
Week-End,2,4,1,6,8,5,10,13
Charente Libre,6,2,1,5,8,4,11,10
Europe 1,2,4,5,6,8,1,13,10
L'Echo du Centre,2,6,5,10,1,8,4,14
L'Eveil,2,5,13,8,4,6,9,3
L'Yonne Républicaine,2,6,1,8,10,13,9,5
L'indépendant,2,6,10,4,5,1,13,7
