Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,8,12,2,10,13,4,15,7
La Montagne,8,3,5,1,12,15,4,13
La Provence,8,2,10,12,4,13,14,7
Aisne Nouvelle,4,12,2,8,15,7,10,13
La République du Centre,8,4,2,13,1,10,5,3
La Voix du Nord,4,8,10,5,12,13,2,1
Le Courrier Picard,12,4,3,13,8,2,14,15
Le Dauphiné Libéré,4,13,2,8,3,12,10,5
Le Matin de Lausanne,13,8,2,12,5,14,4,7
Le Parisien,8,4,3,2,10,15,5,14
Le Progrès de Lyon,2,4,13,12,3,8,10,1
Bilto,3,2,8,12,14,4,5,13
Le Quotidien de la Réunion,13,4,8,1,10,2,7,5
Le Télégramme de Brest,8,2,13,12,1,4,15,9
Les 7 de week-end,12,4,2,8,1,13,7,15
Midi-Libre,3,8,2,4,13,10,5,12
Nice Matin,8,4,12,3,13,2,10,7
Nve. Rep. Centre-Ouest,12,2,8,10,5,4,15,3
Ouest-France,8,4,3,2,13,12,15,5
Paris Normandie,12,13,4,8,2,5,9,3
Paris Turf,8,4,12,13,3,5,2,15
Centre Presse Poitiers,8,13,4,3,2,12,14,1
République des Pyrénées,8,4,13,10,15,3,12,1
Week-End,12,3,8,10,7,4,2,1
Charente Libre,4,8,10,5,12,13,2,1
Europe 1,8,12,13,4,3,2,10,15
L'Echo du Centre,8,4,2,12,14,1,13,5
L'Eveil,8,2,13,4,15,7,12,10
L'Yonne Républicaine,4,2,13,8,12,15,5,10
L'indépendant,8,4,13,3,7,2,12,5
