Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,10,2,14,6,7,8,4
La Montagne,6,10,14,2,9,16,15,8
La Provence,6,9,2,4,15,14,7,10
Aisne Nouvelle,9,6,7,2,10,15,8,4
La République du Centre,2,6,7,9,10,14,15,4
La Voix du Nord,9,6,2,7,4,10,8,14
Le Courrier Picard,6,10,9,2,8,15,14,4
Le Dauphiné Libéré,6,10,2,7,14,16,9,15
Le Matin de Lausanne,9,6,10,2,7,14,8,15
Le Parisien,9,6,2,7,4,10,8,14
Le Progrès de Lyon,9,10,2,6,14,7,8,15
Bilto,10,6,2,9,7,14,15,16
Le Quotidien de la Réunion,10,2,9,6,15,14,7,8
Le Télégramme de Brest,6,9,7,2,10,8,14,4
Les 7 de week-end,9,7,2,6,10,14,15,8
Midi-Libre,9,14,6,15,8,2,10,5
Nice Matin,9,7,14,10,2,6,15,16
Nve. Rep. Centre-Ouest,9,6,2,10,7,8,14,4
Ouest-France,9,6,7,2,10,15,14,8
Paris Normandie,6,10,7,9,4,2,15,14
Paris Turf,9,6,10,2,14,7,15,4
Centre Presse Poitiers,2,9,6,10,14,8,15,16
République des Pyrénées,9,6,7,10,2,14,16,15
Week-End,7,6,9,2,10,14,8,4
Charente Libre,6,2,9,14,7,10,8,4
Europe 1,6,14,7,4,2,9,10,8
L'Echo du Centre,6,2,9,10,7,16,15,14
L'Eveil,6,2,9,10,16,8,7,14
L'Yonne Républicaine,6,7,14,2,10,9,8,4
L'indépendant,2,9,10,6,14,7,15,4
