Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,2,1,9,5,7,13,6,12
La Montagne,2,5,12,6,1,7,13,8
La Provence,2,9,12,5,1,13,7,6
Aisne Nouvelle,7,2,1,9,5,6,8,13
La République du Centre,2,1,12,13,9,5,6,7
La Voix du Nord,2,7,1,9,5,6,13,12
Le Courrier Picard,13,9,1,12,6,2,5,7
Le Dauphiné Libéré,1,7,2,13,12,6,5,9
Le Matin de Lausanne,1,2,9,5,13,6,12,7
Le Parisien,2,12,10,1,5,6,9,13
Le Progrès de Lyon,2,7,1,9,5,6,13,12
Bilto,5,2,13,9,1,7,12,6
Le Quotidien de la Réunion,12,2,7,5,6,1,13,9
Le Télégramme de Brest,2,13,9,6,1,12,7,5
Les 7 de week-end,2,13,1,12,6,5,9,7
Midi-Libre,13,9,2,7,1,6,12,5
Nice Matin,6,2,12,5,1,7,13,9
Nve. Rep. Centre-Ouest,2,7,1,6,9,5,13,12
Ouest-France,1,7,9,2,5,12,6,13
Paris Normandie,2,13,6,12,5,1,7,9
Paris Turf,2,1,5,6,9,12,13,10
Centre Presse Poitiers,1,2,7,6,13,12,8,3
République des Pyrénées,2,6,7,12,1,9,5,13
Week-End,2,1,12,9,13,5,6,7
Charente Libre,2,7,1,9,5,6,13,12
Europe 1,1,5,2,7,12,9,13,6
L'Echo du Centre,9,12,1,2,5,13,6,7
L'Eveil,2,6,1,13,5,7,12,9
L'Yonne Républicaine,2,6,1,13,7,12,5,9
L'indépendant,1,13,12,9,2,5,7,6
