Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,1,14,4,8,11,2,3,9
La Montagne,1,4,5,3,8,14,11,2
La Provence,1,5,8,14,4,11,9,2
Aisne Nouvelle,1,11,4,14,5,10,2,9
La République du Centre,5,1,11,8,4,9,14,12
La Voix du Nord,11,4,5,10,14,9,1,3
Le Courrier Picard,5,14,4,11,9,3,1,8
Le Dauphiné Libéré,4,5,11,1,14,3,9,12
Le Matin de Lausanne,1,5,11,14,8,3,2,4
Le Parisien,11,4,5,10,14,9,1,3
Le Progrès de Lyon,5,1,14,4,11,8,10,3
Bilto,11,5,3,1,10,8,2,4
Le Quotidien de la Réunion,11,4,14,8,10,1,5,2
Le Télégramme de Brest,11,1,5,3,8,14,9,2
Les 7 de week-end,11,4,5,8,3,1,14,2
Midi-Libre,1,4,11,14,5,10,3,6
Nice Matin,4,5,1,2,9,11,6,3
Nve. Rep. Centre-Ouest,11,5,4,1,14,10,3,8
Ouest-France,1,5,11,14,8,10,3,2
Paris Normandie,11,4,5,1,10,2,3,9
Paris Turf,8,12,14,9,5,6,1,2
Centre Presse Poitiers,5,11,1,8,3,4,2,6
République des Pyrénées,14,10,2,5,11,1,8,3
Week-End,11,5,3,8,1,4,14,10
Charente Libre,11,4,5,10,14,9,1,3
Europe 1,11,4,5,1,14,8,3,2
L'Echo du Centre,11,1,14,5,8,4,3,10
L'Eveil,4,1,14,5,10,11,8,9
L'Yonne Républicaine,5,11,1,14,4,8,6,3
L'indépendant,11,5,8,14,1,4,2,3
