Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,15,11,12,13,14,10,7
La Montagne,14,12,13,9,15,7,4,11
La Provence,14,15,11,13,12,9,4,10
Aisne Nouvelle,11,14,15,10,12,9,6,13
La République du Centre,15,14,12,7,9,11,10,13
La Voix du Nord,14,15,12,7,11,9,10,13
Le Courrier Picard,14,9,13,10,15,12,11,7
Le Dauphiné Libéré,11,9,12,14,15,4,6,13
Le Matin de Lausanne,15,12,14,9,11,10,13,3
Le Parisien,15,10,9,14,11,12,13,4
Le Progrès de Lyon,14,15,12,7,11,9,10,13
Bilto,11,15,9,13,14,12,10,7
Le Quotidien de la Réunion,12,14,15,9,13,11,7,4
Le Télégramme de Brest,15,14,11,9,12,13,10,7
Les 7 de week-end,9,15,14,13,11,12,7,10
Midi-Libre,14,11,10,15,12,9,13,8
Nice Matin,14,15,9,11,7,13,12,10
Nve. Rep. Centre-Ouest,14,15,12,9,13,11,7,10
Ouest-France,10,9,14,13,15,12,11,7
Paris Normandie,12,14,11,9,15,4,13,3
Paris Turf,14,13,15,12,11,9,7,3
Centre Presse Poitiers,12,9,14,15,7,13,6,8
République des Pyrénées,14,11,12,10,13,15,9,4
Week-End,14,15,10,13,11,12,9,4
Charente Libre,14,15,12,7,11,9,10,13
Europe 1,12,14,15,7,11,13,9,10
L'Echo du Centre,12,11,15,9,14,10,13,7
L'Eveil,11,9,12,14,13,7,15,10
L'Yonne Républicaine,12,11,15,14,13,9,7,10
L'indépendant,15,12,9,11,14,10,13,7
