Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,15,11,2,13,8,5,17,18
La Montagne,11,15,18,13,17,2,5,3
La Provence,15,13,11,17,3,18,5,2
Aisne Nouvelle,17,13,18,5,15,11,12,3
La République du Centre,13,11,18,9,17,15,5,16
La Voix du Nord,13,18,17,3,2,15,5,11
Le Courrier Picard,13,15,18,5,16,11,9,17
Le Dauphiné Libéré,18,5,11,15,17,13,2,9
Le Matin de Lausanne,13,5,18,2,17,16,11,15
Le Parisien,15,17,13,8,4,3,5,7
Le Progrès de Lyon,13,18,17,3,2,15,5,11
Bilto,13,11,9,17,15,18,5,16
Le Quotidien de la Réunion,13,15,5,16,9,2,11,17
Le Télégramme de Brest,13,2,15,17,5,18,9,8
Les 7 de week-end,13,9,17,15,18,5,16,11
Midi-Libre,17,15,5,13,18,9,2,8
Nice Matin,15,5,11,18,17,13,8,2
Nve. Rep. Centre-Ouest,13,18,17,3,11,15,5,2
Ouest-France,18,13,17,15,5,2,11,8
Paris Normandie,17,13,18,16,9,5,15,11
Paris Turf,13,15,17,16,5,18,8,6
Centre Presse Poitiers,18,13,17,11,3,2,12,4
République des Pyrénées,17,18,11,13,15,5,2,16
Week-End,16,9,5,15,11,17,13,18
Charente Libre,13,18,2,5,9,17,15,3
Europe 1,18,5,17,13,15,11,8,6
L'Echo du Centre,15,18,5,13,17,11,8,16
L'Eveil,18,11,17,13,15,5,9,3
L'Yonne Républicaine,13,5,15,18,17,9,11,2
L'indépendant,17,13,11,15,8,5,18,4
