Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,13,8,7,4,9,2,1
La Montagne,3,8,13,9,6,2,11,5
La Provence,8,3,5,4,9,13,6,7
Aisne Nouvelle,7,8,2,9,1,12,3,5
La République du Centre,13,3,5,2,7,1,4,11
La Voix du Nord,13,3,9,6,4,2,1,5
Le Courrier Picard,6,13,2,9,3,5,12,1
Le Dauphiné Libéré,3,7,6,4,5,8,13,2
Le Matin de Lausanne,3,5,7,4,2,9,6,13
Le Parisien,5,7,4,13,1,2,8,9
Le Progrès de Lyon,8,2,13,1,7,5,3,4
Bilto,4,2,13,1,5,3,9,8
Le Quotidien de la Réunion,2,13,9,6,3,4,7,5
Le Télégramme de Brest,7,8,4,1,13,3,5,6
Les 7 de week-end,3,5,4,2,6,1,9,15
Midi-Libre,7,3,5,9,1,13,15,2
Nice Matin,3,13,2,1,7,6,5,15
Nve. Rep. Centre-Ouest,2,8,6,1,3,13,5,9
Ouest-France,3,5,13,8,12,4,9,2
Paris Normandie,5,8,9,2,3,7,13,11
Paris Turf,13,3,7,2,9,5,1,14
Centre Presse Poitiers,13,8,6,9,3,12,5,4
République des Pyrénées,3,7,2,9,5,6,1,13
Week-End,13,5,2,4,9,6,8,11
Charente Libre,13,3,9,6,4,2,1,5
Europe 1,9,4,8,2,5,6,7,3
L'Echo du Centre,9,6,3,8,4,13,15,16
L'Eveil,8,4,5,3,7,9,13,2
L'Yonne Républicaine,6,2,3,1,9,13,4,8
L'indépendant,5,6,2,9,8,1,7,13
