Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,14,10,12,9,2,1,11,4
La Montagne,2,12,10,16,9,7,13,11
La Provence,7,5,14,2,4,9,10,6
Aisne Nouvelle,12,7,10,3,5,2,4,1
La République du Centre,2,9,10,12,3,7,4,8
La Voix du Nord,7,10,5,12,2,11,9,1
Le Courrier Picard,10,7,9,14,1,16,2,12
Le Dauphiné Libéré,12,10,14,2,11,13,9,1
Le Matin de Lausanne,12,10,2,11,14,9,5,4
Le Parisien,7,10,5,12,2,11,9,1
Le Progrès de Lyon,2,12,4,14,10,11,7,13
Bilto,2,10,9,11,3,5,16,1
Le Quotidien de la Réunion,10,3,11,14,2,12,4,7
Le Télégramme de Brest,10,12,9,4,14,5,7,2
Les 7 de week-end,7,5,11,16,10,12,14,9
Midi-Libre,10,5,9,2,14,12,4,1
Nice Matin,10,7,2,12,11,5,3,4
Nve. Rep. Centre-Ouest,7,12,5,10,1,13,11,2
Ouest-France,12,2,7,11,9,10,5,3
Paris Normandie,10,14,2,4,9,3,7,1
Paris Turf,2,3,7,14,5,10,12,8
Centre Presse Poitiers,5,13,7,12,11,10,4,9
République des Pyrénées,10,14,7,6,9,5,8,12
Week-End,7,1,10,14,2,4,9,3
Charente Libre,7,9,10,6,5,14,2,4
Europe 1,2,10,7,12,9,11,16,1
L'Echo du Centre,2,12,10,7,11,9,14,5
L'Eveil,10,14,2,4,9,3,7,1
L'Yonne Républicaine,7,6,9,5,8,12,10,14
L'indépendant,10,7,1,14,2,4,9,3
