Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,12,2,15,9,1,10,6,13
La Montagne,1,9,15,6,11,3,12,10
La Provence,6,9,12,15,8,1,2,3
Aisne Nouvelle,9,11,6,2,10,1,12,8
La République du Centre,2,6,1,8,10,9,12,11
La Voix du Nord,13,11,2,3,6,12,1,8
Le Courrier Picard,6,9,2,11,8,1,15,12
Le Dauphiné Libéré,6,8,9,12,15,11,2,1
Le Matin de Lausanne,6,12,2,1,15,11,9,10
Le Parisien,2,6,12,3,15,1,9,11
Le Progrès de Lyon,6,1,9,10,2,14,12,15
Bilto,1,9,2,12,6,11,10,15
Le Quotidien de la Réunion,1,13,3,6,11,2,8,12
Le Télégramme de Brest,6,10,9,2,12,11,1,15
Les 7 de week-end,1,9,6,10,12,2,4,8
Midi-Libre,1,11,2,6,9,15,10,12
Nice Matin,2,6,10,9,8,15,1,7
Nve. Rep. Centre-Ouest,6,9,12,10,2,11,1,8
Ouest-France,6,1,9,2,11,12,3,10
Paris Normandie,6,11,9,2,15,10,12,1
Paris Turf,8,12,15,2,9,6,11,10
Centre Presse Poitiers,1,12,6,9,10,11,2,15
République des Pyrénées,8,12,2,10,6,15,9,13
Week-End,6,2,12,10,8,11,9,15
Charente Libre,13,11,2,3,6,12,1,8
Europe 1,1,6,2,10,9,15,8,13
L'Echo du Centre,1,11,12,6,8,9,3,10
L'Eveil,6,1,11,10,8,2,3,15
L'Yonne Républicaine,1,11,12,8,9,2,3,15
L'indépendant,6,9,2,10,12,11,15,1
