Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,7,4,3,5,9,13,1,6
La Montagne,3,13,4,11,5,7,9,1
La Provence,7,13,6,11,3,4,2,1
Aisne Nouvelle,13,6,4,3,7,11,10,5
La République du Centre,7,13,11,3,6,4,5,1
La Voix du Nord,13,11,7,4,1,3,6,2
Le Courrier Picard,7,11,3,13,1,4,6,15
Le Dauphiné Libéré,11,7,2,5,9,13,4,15
Le Matin de Lausanne,4,11,3,7,9,10,15,5
Le Parisien,4,13,7,2,3,5,1,11
Le Progrès de Lyon,3,7,4,6,5,1,9,14
Bilto,2,7,5,13,1,4,10,3
Le Quotidien de la Réunion,7,1,13,6,4,11,2,3
Le Télégramme de Brest,13,11,3,7,12,2,8,4
Les 7 de week-end,7,13,6,4,16,8,5,3
Midi-Libre,4,7,13,6,9,2,3,1
Nice Matin,7,4,6,11,13,1,9,5
Nve. Rep. Centre-Ouest,7,13,4,6,2,1,16,10
Ouest-France,7,6,13,4,3,12,5,14
Paris Normandie,3,11,5,1,6,4,13,7
Paris Turf,7,4,1,13,11,3,2,5
Centre Presse Poitiers,11,4,13,3,7,5,9,8
République des Pyrénées,7,4,9,13,12,10,1,11
Week-End,1,7,2,3,9,6,10,4
Charente Libre,13,11,7,4,1,3,6,2
Europe 1,4,1,2,5,6,7,3,13
L'Echo du Centre,3,1,6,2,7,13,12,4
L'Eveil,4,7,3,13,15,11,16,6
L'Yonne Républicaine,7,3,4,1,13,6,9,11
L'indépendant,13,7,4,6,1,2,11,10
