Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,11,6,10,7,13,14,4
La Montagne,10,11,4,9,7,6,3,13
La Provence,14,6,9,7,10,13,1,11
Aisne Nouvelle,6,7,13,10,9,1,14,4
La République du Centre,7,10,14,11,1,13,4,6
La Voix du Nord,7,13,9,6,10,4,1,11
Le Courrier Picard,7,9,13,10,11,14,1,6
Le Dauphiné Libéré,6,4,11,10,9,3,14,7
Le Matin de Lausanne,6,11,4,9,1,10,2,13
Le Parisien,13,7,9,6,11,10,3,14
Le Progrès de Lyon,7,13,9,6,10,4,1,11
Bilto,4,10,6,1,13,7,2,11
Le Quotidien de la Réunion,4,7,10,11,13,6,14,1
Le Télégramme de Brest,6,9,7,13,10,11,14,1
Les 7 de week-end,9,6,10,7,13,14,4,11
Midi-Libre,14,10,11,4,9,6,13,7
Nice Matin,11,6,14,10,13,2,7,4
Nve. Rep. Centre-Ouest,7,9,13,1,11,10,4,6
Ouest-France,7,1,14,10,13,6,4,9
Paris Normandie,6,9,7,10,13,1,11,14
Paris Turf,9,7,13,6,3,10,11,14
Centre Presse Poitiers,9,7,13,1,11,4,14,2
République des Pyrénées,7,14,9,11,6,10,3,1
Week-End,10,4,6,14,9,7,11,1
Charente Libre,11,4,6,9,13,10,1,7
Europe 1,7,13,10,11,14,1,6,9
L'Echo du Centre,13,1,11,14,6,9,7,10
L'Eveil,10,6,11,1,7,9,4,3
L'Yonne Républicaine,7,11,13,9,6,10,4,1
L'indépendant,7,13,14,4,11,6,10,9
