Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,6,1,14,10,3,4,12
La Montagne,6,5,7,2,1,8,3,9
La Provence,9,5,1,6,3,7,2,11
Aisne Nouvelle,6,3,5,7,1,13,2,8
La République du Centre,6,9,3,8,7,1,11,13
La Voix du Nord,6,9,7,1,2,3,5,8
Le Courrier Picard,6,8,3,5,9,7,11,15
Le Dauphiné Libéré,8,6,9,13,2,1,5,4
Le Matin de Lausanne,6,8,9,3,2,7,13,5
Le Parisien,6,9,3,7,8,5,14,2
Le Progrès de Lyon,6,8,5,9,7,3,1,13
Bilto,3,9,7,6,11,4,8,2
Le Quotidien de la Réunion,7,6,9,5,3,8,10,1
Le Télégramme de Brest,6,8,7,1,10,9,5,3
Les 7 de week-end,8,6,5,11,2,3,4,9
Midi-Libre,3,6,9,13,11,8,15,5
Nice Matin,6,3,5,11,8,1,9,4
Nve. Rep. Centre-Ouest,8,5,6,7,3,1,13,9
Ouest-France,6,9,1,8,11,5,3,15
Paris Normandie,9,8,6,3,7,11,10,14
Paris Turf,3,9,5,6,11,8,4,15
Centre Presse Poitiers,6,9,5,11,8,10,3,1
République des Pyrénées,9,6,3,7,5,4,11,8
Week-End,3,11,6,8,10,5,9,2
Charente Libre,6,9,7,1,2,3,5,8
Europe 1,9,6,8,5,3,1,15,2
L'Echo du Centre,6,9,8,10,7,11,2,3
L'Eveil,8,5,9,3,6,4,7,1
L'Yonne Républicaine,3,7,1,2,13,10,6,15
L'indépendant,8,5,9,10,6,3,4,11
