Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,4,14,10,13,8,9,5,1
La Montagne,9,8,4,14,13,7,10,15
La Provence,9,14,13,7,15,10,1,5
Aisne Nouvelle,10,9,13,6,14,4,7,3
La République du Centre,4,12,1,13,9,14,6,10
La Voix du Nord,9,14,13,10,4,3,6,7
Le Courrier Picard,14,10,9,7,13,3,1,11
Le Dauphiné Libéré,13,10,9,14,1,6,11,8
Le Matin de Lausanne,10,14,15,8,6,4,9,13
Le Parisien,13,9,14,10,4,8,5,6
Le Progrès de Lyon,9,14,13,10,4,3,6,7
Bilto,14,13,9,10,6,7,15,5
Le Quotidien de la Réunion,13,14,9,10,7,6,4,5
Le Télégramme de Brest,13,9,10,14,7,1,5,8
Les 7 de week-end,9,4,10,13,14,3,5,8
Midi-Libre,13,8,9,5,1,4,14,10
Nice Matin,9,7,10,15,8,4,14,13
Nve. Rep. Centre-Ouest,9,14,10,13,3,11,6,4
Ouest-France,9,1,14,10,5,13,3,8
Paris Normandie,4,9,13,10,14,15,8,6
Paris Turf,9,13,14,7,1,3,5,15
Centre Presse Poitiers,14,11,9,10,1,13,7,5
République des Pyrénées,14,9,13,10,15,5,6,1
Week-End,9,8,4,10,13,14,3,5
Charente Libre,10,9,14,13,7,4,1,5
Europe 1,9,4,14,13,7,10,15,8
L'Echo du Centre,14,9,13,10,1,4,5,11
L'Eveil,9,13,1,14,8,10,7,5
L'Yonne Républicaine,13,9,10,1,3,14,4,7
L'indépendant,13,9,14,10,5,7,15,1
