Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,6,2,7,8,13,1,4,14
La Montagne,6,1,7,2,4,3,10,14
La Provence,7,1,6,2,14,13,3,4
Aisne Nouvelle,1,5,7,10,2,13,6,3
La République du Centre,1,7,13,14,8,6,2,4
La Voix du Nord,1,7,13,2,6,5,10,3
Le Courrier Picard,7,6,2,13,1,3,4,8
Le Dauphiné Libéré,1,2,3,7,4,5,13,16
Le Matin de Lausanne,7,14,2,1,6,5,13,3
Le Parisien,1,7,13,2,6,5,10,3
Le Progrès de Lyon,1,2,7,13,4,6,10,14
Bilto,2,3,1,7,4,5,13,16
Le Quotidien de la Réunion,3,6,2,4,12,7,1,13
Le Télégramme de Brest,2,1,7,13,6,10,8,4
Les 7 de week-end,2,1,7,14,13,4,6,10
Midi-Libre,7,2,1,6,4,13,3,8
Nice Matin,10,5,11,2,13,7,6,1
Nve. Rep. Centre-Ouest,1,2,5,9,10,7,13,14
Ouest-France,7,2,13,1,10,14,6,4
Paris Normandie,2,13,7,6,1,10,5,11
Paris Turf,2,7,1,4,6,10,14,3
Centre Presse Poitiers,2,1,5,14,9,7,6,8
République des Pyrénées,7,6,1,8,13,2,4,14
Week-End,1,7,4,5,13,16,2,3
Charente Libre,1,13,16,2,3,7,4,5
Europe 1,7,14,1,6,13,4,2,3
L'Echo du Centre,1,7,4,8,6,2,10,13
L'Eveil,6,1,8,7,14,4,13,2
L'Yonne Républicaine,7,6,1,10,5,11,2,13
L'indépendant,7,1,2,4,13,6,8,3
