Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,10,14,1,4,13,2,15
La Montagne,10,1,4,2,8,7,3,14
La Provence,10,3,14,7,4,1,13,2
Aisne Nouvelle,4,1,3,10,8,14,6,7
La République du Centre,3,1,7,4,13,10,6,2
La Voix du Nord,3,10,4,14,12,2,1,13
Le Courrier Picard,4,10,7,3,2,1,5,12
Le Dauphiné Libéré,3,1,7,10,14,2,4,12
Le Matin de Lausanne,3,1,4,7,10,8,13,14
Le Parisien,10,1,3,2,4,7,11,14
Le Progrès de Lyon,4,14,10,13,3,1,8,12
Bilto,10,7,3,12,4,6,9,14
Le Quotidien de la Réunion,10,3,4,1,2,14,8,7
Le Télégramme de Brest,3,10,7,1,13,5,4,14
Les 7 de week-end,3,4,7,1,14,13,10,2
Midi-Libre,4,14,13,1,2,3,8,10
Nice Matin,10,4,7,3,13,2,1,15
Nve. Rep. Centre-Ouest,10,4,3,13,8,12,1,15
Ouest-France,1,3,4,10,7,2,14,13
Paris Normandie,4,3,1,14,10,8,12,11
Paris Turf,4,1,3,12,10,7,14,15
Centre Presse Poitiers,1,4,3,7,2,10,13,8
République des Pyrénées,3,10,4,7,8,2,14,13
Week-End,10,13,1,7,3,4,14,15
Charente Libre,3,10,4,14,12,2,1,13
Europe 1,10,7,4,3,1,8,14,11
L'Echo du Centre,13,7,14,3,10,1,9,4
L'Eveil,10,3,7,4,14,8,2,1
L'Yonne Républicaine,10,3,7,4,1,13,11,2
L'indépendant,10,1,3,4,7,2,12,13
