Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,4,1,5,6,2,10,3,11
La Montagne,1,4,5,3,2,6,15,11
La Provence,2,13,4,1,5,11,6,10
Aisne Nouvelle,2,4,1,6,3,13,16,5
La République du Centre,2,13,16,1,6,4,3,11
La Voix du Nord,13,2,4,6,3,10,1,17
Le Courrier Picard,4,1,2,5,16,11,13,10
Le Dauphiné Libéré,4,1,6,2,11,10,5,3
Le Matin de Lausanne,3,4,2,1,16,6,10,13
Le Parisien,4,1,6,2,3,11,13,16
Le Progrès de Lyon,3,1,13,5,6,2,16,4
Bilto,2,1,3,6,5,16,13,4
Le Quotidien de la Réunion,2,13,4,3,6,1,5,16
Le Télégramme de Brest,4,2,6,1,3,13,11,5
Les 7 de week-end,13,2,6,10,3,5,1,4
Midi-Libre,1,4,13,2,3,14,6,16
Nice Matin,2,13,11,1,6,4,3,10
Nve. Rep. Centre-Ouest,4,6,11,1,2,3,13,16
Ouest-France,2,4,1,6,13,3,5,10
Paris Normandie,3,1,5,16,2,6,4,13
Paris Turf,2,3,4,6,1,16,11,5
Centre Presse Poitiers,2,13,1,3,10,4,16,6
République des Pyrénées,1,6,16,5,10,3,4,2
Week-End,6,2,3,10,4,1,13,5
Charente Libre,13,2,4,6,3,10,1,17
Europe 1,1,4,3,6,13,10,2,11
L'Echo du Centre,2,4,13,1,3,16,5,10
L'Eveil,1,2,4,5,3,16,11,13
L'Yonne Républicaine,1,3,13,4,2,16,6,5
L'indépendant,2,1,6,3,16,4,10,11
