Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,9,16,4,13,14,5,15,10
La Montagne,16,13,14,5,4,9,15,11
La Provence,4,14,13,5,9,16,11,15
Aisne Nouvelle,4,13,16,9,14,11,6,15
La République du Centre,13,4,16,11,5,6,9,14
La Voix du Nord,13,16,4,9,14,11,5,15
Le Courrier Picard,5,4,14,16,15,13,9,8
Le Dauphiné Libéré,13,5,10,4,9,15,16,14
Le Matin de Lausanne,15,5,10,4,9,13,16,14
Le Parisien,13,11,14,4,9,16,5,6
Le Progrès de Lyon,13,16,4,9,14,11,5,15
Bilto,9,4,13,15,5,14,16,11
Le Quotidien de la Réunion,13,16,4,14,9,5,15,6
Le Télégramme de Brest,13,14,15,5,4,16,11,9
Les 7 de week-end,9,14,4,16,13,11,5,6
Midi-Libre,16,4,9,14,5,13,15,11
Nice Matin,16,9,15,13,5,14,4,7
Nve. Rep. Centre-Ouest,13,4,16,15,11,9,14,5
Ouest-France,16,13,9,15,14,5,4,7
Paris Normandie,9,13,16,14,15,5,10,4
Paris Turf,16,14,13,9,11,4,5,7
Centre Presse Poitiers,11,15,13,4,16,5,6,2
République des Pyrénées,4,14,9,13,15,16,5,11
Week-End,16,13,4,2,9,11,5,14
Charente Libre,14,16,15,9,5,13,4,11
Europe 1,10,4,9,15,16,14,13,5
L'Echo du Centre,13,11,5,6,9,14,4,16
L'Eveil,16,15,14,5,9,13,4,11
L'Yonne Républicaine,13,4,9,15,14,5,16,2
L'indépendant,16,5,15,13,14,9,4,11
