Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,3,9,4,11,2,7,5,8
La Montagne,6,4,9,16,2,11,7,3
La Provence,9,11,4,6,3,16,5,2
Aisne Nouvelle,7,11,6,3,9,8,5,16
La République du Centre,11,16,3,9,6,7,4,5
La Voix du Nord,11,6,9,8,7,3,16,5
Le Courrier Picard,11,9,3,4,6,7,16,5
Le Dauphiné Libéré,9,5,11,16,6,3,13,8
Le Matin de Lausanne,9,11,6,3,16,4,2,8
Le Parisien,11,6,9,8,7,3,16,5
Le Progrès de Lyon,9,11,3,5,4,16,2,1
Bilto,4,3,9,16,6,11,8,13
Le Quotidien de la Réunion,11,9,6,5,3,2,4,13
Le Télégramme de Brest,11,3,9,4,6,16,5,8
Les 7 de week-end,11,9,6,5,16,3,4,8
Midi-Libre,6,9,16,2,11,7,3,4
Nice Matin,11,3,9,6,2,8,4,16
Nve. Rep. Centre-Ouest,11,9,6,8,16,7,3,5
Ouest-France,3,9,11,7,8,13,4,16
Paris Normandie,6,11,7,3,4,9,16,2
Paris Turf,11,6,4,9,3,7,8,16
Centre Presse Poitiers,9,8,11,6,1,16,5,4
République des Pyrénées,9,2,11,4,16,6,3,7
Week-End,4,16,6,3,7,9,2,11
Charente Libre,9,11,16,6,8,4,5,3
Europe 1,11,3,4,6,9,16,2,7
L'Echo du Centre,4,11,5,9,16,3,6,13
L'Eveil,11,9,16,3,4,2,6,8
L'Yonne Républicaine,11,4,16,6,3,7,9,2
L'indépendant,11,16,2,7,3,4,6,9
