Source de Presse,P1,P2,P3,P4,P5,P6,P7,P8
La Marseillaise,8,3,7,2,9,6,10,15
La Montagne,7,8,3,16,10,9,13,15
La Provence,8,7,10,3,4,16,13,2
Aisne Nouvelle,15,8,9,16,7,13,14,2
La République du Centre,8,10,3,16,7,2,14,11
La Voix du Nord,8,9,7,15,16,13,2,11
Le Courrier Picard,8,7,16,10,3,11,13,6
Le Dauphiné Libéré,9,7,2,10,1,15,3,8
Le Matin de Lausanne,8,16,7,3,10,13,15,4
Le Parisien,8,9,7,15,16,13,2,11
Le Progrès de Lyon,7,8,10,4,15,13,3,11
Bilto,13,16,10,3,8,7,9,6
Le Quotidien de la Réunion,3,8,7,10,12,2,9,16
Le Télégramme de Brest,3,13,15,16,8,7,9,14
Les 7 de week-end,8,3,7,13,9,10,16,15
Midi-Libre,13,10,8,7,16,11,9,3
Nice Matin,8,7,2,9,6,10,15,3
Nve. Rep. Centre-Ouest,8,15,7,9,2,16,3,13
Ouest-France,7,4,3,13,8,14,9,10
Paris Normandie,8,9,7,2,10,1,15,3
Paris Turf,7,9,8,10,3,16,13,6
Centre Presse Poitiers,7,3,8,15,11,9,14,1
République des Pyrénées,7,9,8,2,11,14,3,10
Week-End,10,1,15,3,8,9,7,2
Charente Libre,3,7,16,13,15,10,8,11
Europe 1,8,6,10,15,3,7,2,9
L'Echo du Centre,3,7,16,13,8,15,4,9
L'Eveil,13,3,16,7,8,15,2,10
L'Yonne Républicaine,2,11,14,3,10,7,9,8
L'indépendant,8,7,3,13,16,15,9,10
